player_id,player_name_before,team_before,position_group,functional_role_before,final_player_rating,global_rank,position_rank,role_rank,team_rank,goalkeeper_rank,minutes,player_name_after,team_after,position_group_360,functional_role_after,final_player_rating_v2,global_rank_v2,position_rank_v2,role_rank_v2,team_rank_v2,gk_rating_v2,gk_rank_v2,minutes_played,_merge
3957,César Azpilicueta Tanco,Spain,Fullback/Wingback,Attacking Wingback,0.5263442394162258,133.0,41,33,9,,143.06666666666666,César Azpilicueta Tanco,Spain,FB,Attacking Wingback,0.5365264634617487,101.0,12.0,12.0,8.0,,,143.06666666666666,both
3959,Andreas Christensen,Denmark,Center Back,Ball-Playing Centre-Back,0.480182372360949,290.0,4,2,12,,290.8,Andreas Christensen,Denmark,CB,Ball-Playing Centre-Back,0.5346109716530141,103.0,6.0,5.0,2.0,,,290.8,both
4269,Aleksandar Mitrović,Serbia,Forward,Target Forward,0.4969175867488156,228.0,35,24,6,,279.4166666666667,Aleksandar Mitrović,Serbia,FW,Target Forward,0.6497975278248436,42.0,16.0,9.0,1.0,,,279.4166666666667,both
4272,João Mário Naval da Costa Eduardo,Portugal,Attacking Midfield/Wing,Ball-Winner,0.5276151012406989,131.0,68,20,10,,93.95,João Mário Naval da Costa Eduardo,Portugal,AM,Ball-Winner,0.2668316817656263,438.0,108.0,41.0,20.0,,,93.95,both
4318,Davy Klaassen,Netherlands,Attacking Midfield/Wing,Target Forward,0.5190898471855164,155.0,73,15,6,,201.36666666666667,Davy Klaassen,Netherlands,AM,Target Forward,0.4354246251301987,201.0,60.0,25.0,8.0,,,201.36666666666667,both
4319,Edinson Roberto Cavani Gómez,Uruguay,Forward,Ball-Winner,0.496456702224042,229.0,36,34,10,,142.11666666666667,Edinson Roberto Cavani Gómez,Uruguay,FW,Pressing Forward,0.425394195731,210.0,51.0,9.0,6.0,,,142.11666666666667,both
4320,Neymar da Silva Santos Junior,Brazil,Attacking Midfield/Wing,Progressive Winger,0.648411449280198,4.0,3,3,1,,281.4833333333333,Neymar da Silva Santos Junior,Brazil,AM,Progressive Winger,0.7702158441452054,9.0,4.0,5.0,1.0,,,281.4833333333333,both
4324,Daniel Alves da Silva,Brazil,Fullback/Wingback,Deep Playmaker,0.5236554215223963,140.0,46,7,10,,131.51666666666665,Daniel Alves da Silva,Brazil,FB,Deep Playmaker,0.3613008987887308,290.0,46.0,7.0,19.0,,,131.51666666666665,both
4353,Aymeric Laporte,Spain,Center Back,Sweeper CB,0.4650755100359968,333.0,12,9,16,,316.93333333333334,Aymeric Laporte,Spain,CB,Sweeper CB,0.3684741310556116,279.0,36.0,23.0,12.0,,,316.93333333333334,both
4354,Phil Foden,England,Attacking Midfield/Wing,Ball-Winner,0.4961535214521277,230.0,89,35,12,,275.5333333333333,Phil Foden,England,AM,Ball-Winner,0.6205795798213145,55.0,22.0,2.0,4.0,,,275.5333333333333,both
4372,Marcos Aoás Corrêa,Brazil,Center Back,Ball-Playing Centre-Back,0.4811109022070342,284.0,3,1,19,,455.0166666666667,Marcos Aoás Corrêa,Brazil,CB,Ball-Playing Centre-Back,0.5241008398797742,109.0,7.0,6.0,12.0,,,455.0166666666667,both
4445,Jules Koundé,France,Fullback/Wingback,Deep Playmaker,0.4299427261900851,439.0,106,31,20,,514.4166666666666,Jules Koundé,France,FB,Deep Playmaker,0.2425300085713166,470.0,84.0,25.0,17.0,,,514.4166666666666,both
