player_id,x_bin,y_bin,point_count,standard_event_points,freeze_frame_points,density
2995,5,3,2,0,2,0.0022346368715083797
2995,5,5,5,3,2,0.00558659217877095
2995,5,6,7,3,4,0.00782122905027933
2995,5,7,18,5,13,0.02011173184357542
2995,6,0,12,3,9,0.013407821229050279
2995,6,1,1,0,1,0.0011173184357541898
2995,6,3,2,2,0,0.0022346368715083797
2995,6,4,6,2,4,0.0067039106145251395
2995,6,5,10,5,5,0.0111731843575419
2995,6,6,3,2,1,0.0033519553072625698
2995,6,7,40,10,30,0.0446927374301676
2995,7,0,26,8,18,0.02905027932960894
2995,7,1,3,1,2,0.0033519553072625698
2995,7,2,3,2,1,0.0033519553072625698
2995,7,5,6,5,1,0.0067039106145251395
2995,7,6,12,6,6,0.013407821229050279
2995,7,7,39,9,30,0.04357541899441341
2995,8,0,18,5,13,0.02011173184357542
2995,8,1,13,3,10,0.01452513966480447
2995,8,2,8,6,2,0.008938547486033519
2995,8,3,1,1,0,0.0011173184357541898
2995,8,4,14,5,9,0.01564245810055866
2995,8,5,15,9,6,0.01675977653631285
2995,8,6,35,15,20,0.03910614525139665
2995,8,7,44,9,35,0.049162011173184354
2995,9,0,13,2,11,0.01452513966480447
2995,9,1,17,9,8,0.01899441340782123
2995,9,2,15,7,8,0.01675977653631285
2995,9,3,6,5,1,0.0067039106145251395
2995,9,4,18,5,13,0.02011173184357542
2995,9,5,17,12,5,0.01899441340782123
2995,9,6,42,21,21,0.04692737430167598
2995,9,7,91,23,68,0.10167597765363129
2995,10,0,6,4,2,0.0067039106145251395
2995,10,1,15,4,11,0.01675977653631285
2995,10,2,6,3,3,0.0067039106145251395
2995,10,3,3,1,2,0.0033519553072625698
2995,10,4,6,3,3,0.0067039106145251395
2995,10,5,29,15,14,0.03240223463687151
2995,10,6,33,13,20,0.03687150837988827
2995,10,7,26,10,16,0.02905027932960894
2995,11,0,6,1,5,0.0067039106145251395
2995,11,1,9,5,4,0.01005586592178771
2995,11,2,9,6,3,0.01005586592178771
2995,11,3,7,5,2,0.00782122905027933
2995,11,4,11,5,6,0.012290502793296089
2995,11,5,9,4,5,0.01005586592178771
2995,11,6,9,5,4,0.01005586592178771
2995,11,7,4,2,2,0.004469273743016759
3009,0,1,2,0,2,0.0013245033112582781
3009,0,4,3,0,3,0.001986754966887417
3009,0,5,4,0,4,0.0026490066225165563
3009,0,7,1,0,1,0.0006622516556291391
3009,1,2,1,0,1,0.0006622516556291391
3009,1,3,4,0,4,0.0026490066225165563
3009,1,4,7,0,7,0.004635761589403974
3009,1,5,8,0,8,0.005298013245033113
3009,1,6,1,0,1,0.0006622516556291391
3009,2,0,10,3,7,0.006622516556291391
3009,2,1,5,0,5,0.0033112582781456954
3009,2,2,4,0,4,0.0026490066225165563
3009,2,4,5,0,5,0.0033112582781456954
3009,2,5,4,0,4,0.0026490066225165563
3009,2,6,5,0,5,0.0033112582781456954
3009,2,7,3,0,3,0.001986754966887417
3009,3,0,5,1,4,0.0033112582781456954
3009,3,1,8,2,6,0.005298013245033113
3009,3,2,4,1,3,0.0026490066225165563
3009,3,3,2,1,1,0.0013245033112582781
3009,3,4,5,1,4,0.0033112582781456954
3009,3,5,6,0,6,0.003973509933774834
3009,3,6,8,0,8,0.005298013245033113
3009,3,7,3,0,3,0.001986754966887417
3009,4,0,14,4,10,0.009271523178807948
3009,4,1,5,2,3,0.0033112582781456954
3009,4,2,3,1,2,0.001986754966887417
3009,4,3,2,1,1,0.0013245033112582781
3009,4,4,2,1,1,0.0013245033112582781
3009,4,5,3,0,3,0.001986754966887417
3009,4,6,6,1,5,0.003973509933774834
3009,4,7,8,0,8,0.005298013245033113
3009,5,0,33,12,21,0.02185430463576159
3009,5,1,19,6,13,0.012582781456953643
3009,5,2,24,8,16,0.015894039735099338
3009,5,3,7,2,5,0.004635761589403974
3009,5,4,4,2,2,0.0026490066225165563
3009,5,5,1,0,1,0.0006622516556291391
3009,5,6,5,0,5,0.0033112582781456954
3009,5,7,3,0,3,0.001986754966887417
3009,6,0,57,19,38,0.03774834437086093
3009,6,1,52,21,31,0.03443708609271523
3009,6,2,23,6,17,0.015231788079470199
3009,6,3,8,4,4,0.005298013245033113
3009,6,4,6,2,4,0.003973509933774834
3009,6,5,5,1,4,0.0033112582781456954
3009,6,6,2,0,2,0.0013245033112582781
3009,6,7,3,0,3,0.001986754966887417
3009,7,0,82,28,54,0.054304635761589407
3009,7,1,59,27,32,0.0390728476821192
3009,7,2,30,10,20,0.019867549668874173
3009,7,3,16,5,11,0.010596026490066225
3009,7,4,8,3,5,0.005298013245033113
3009,7,5,8,3,5,0.005298013245033113
3009,7,6,4,2,2,0.0026490066225165563
3009,7,7,3,1,2,0.001986754966887417
3009,8,0,102,33,69,0.06754966887417219
3009,8,1,52,22,30,0.03443708609271523
3009,8,2,52,15,37,0.03443708609271523
3009,8,3,7,1,6,0.004635761589403974
3009,8,4,4,2,2,0.0026490066225165563
3009,8,5,5,1,4,0.0033112582781456954
3009,8,6,10,3,7,0.006622516556291391
3009,9,0,107,35,72,0.07086092715231788
3009,9,1,82,34,48,0.054304635761589407
