team,rank,player_id,player,position_group,optimization_score
Canada,2,44703,Alistair Johnston,Fullback/Wingback,2.526315789473684
Canada,3,23640,Jonathan David,Forward,2.3684210526315788
Canada,4,24024,Tajon Buchanan,Central/Wide Midfield,2.3157894736842106
Canada,5,9922,David Junior Hoilett,Central/Wide Midfield,2.0
Canada,6,11846,Steven de Sousa Vitoria,Center Back,2.0
Canada,7,23828,Kamal Miller,Center Back,2.0
Canada,8,15958,Milan Borjan,Goalkeeper,1.789473684210526
Canada,9,16120,Richie Laryea,Fullback/Wingback,1.736842105263158
Canada,10,16459,Cyle Larin,Forward,1.7368421052631577
Canada,11,31684,Atiba Hutchinson,Defensive Midfield,1.6842105263157894
Costa Rica,1,5581,Joel Nathaniel Campbell Samuels,Forward,2.727272727272727
Costa Rica,2,5839,Yeltsin Ignacio Tejeda Valverde,Central/Wide Midfield,2.5454545454545454
Costa Rica,3,132296,Anthony Daniel Contreras Enríquez,Forward,2.1363636363636362
Costa Rica,4,5836,Bryan Oviedo,Fullback/Wingback,2.1363636363636362
Costa Rica,5,130185,Keysher Fuller Spence,Fullback/Wingback,2.090909090909091
Costa Rica,6,5598,Óscar Esau Duarte Gaitán,Center Back,2.0681818181818183
Costa Rica,7,5582,Celso Borges Mora,Defensive Midfield,2.045454545454546
Costa Rica,8,132728,Jewison Bennette,Attacking Midfield/Wing,1.9090909090909092
Costa Rica,9,5597,Keylor Navas Gamboa,Goalkeeper,1.8863636363636362
Costa Rica,10,5595,Johan Alberto Venegas Ulloa,Forward,1.772727272727273
Costa Rica,11,6328,Kendall Jamaal Waston Manley,Center Back,1.6363636363636362
Croatia,1,5474,Ivan Perišić,Attacking Midfield/Wing,2.4499999999999997
Croatia,2,5456,Mateo Kovačić,Central/Wide Midfield,2.3
Croatia,3,5463,Luka Modrić,Central/Wide Midfield,2.2
Croatia,4,33018,Joško Gvardiol,Center Back,2.175
Croatia,5,5460,Andrej Kramarić,Attacking Midfield/Wing,2.0
Croatia,6,16531,Dominik Livaković,Goalkeeper,1.975
Croatia,7,7693,Bruno Petković,Forward,1.85
Croatia,8,29163,Josip Juranović,Fullback/Wingback,1.775
Croatia,9,3471,Dejan Lovren,Center Back,1.675
Croatia,10,5469,Marcelo Brozović,Defensive Midfield,1.55
Croatia,11,12625,Borna Sosa,Fullback/Wingback,1.55
Denmark,1,3043,Christian Dannemann Eriksen,Central/Wide Midfield,2.4
Denmark,2,3570,Pierre-Emile Højbjerg,Central/Wide Midfield,2.35
Denmark,3,3959,Andreas Christensen,Center Back,2.25
Denmark,4,27569,Jesper Lindstrøm,Attacking Midfield/Wing,2.1
Denmark,5,16554,Joakim Mæhle,Fullback/Wingback,2.1
Denmark,6,8247,Joachim Andersen,Center Back,2.0
Denmark,7,6302,Kasper Dolberg,Forward,1.95
Denmark,8,17042,Andreas Skov Olsen,Attacking Midfield/Wing,1.95
Denmark,9,16190,Rasmus Nissen Kristensen,Fullback/Wingback,1.95
Denmark,10,3815,Kasper Schmeichel,Goalkeeper,1.85
Denmark,11,5527,Thomas Delaney,Defensive Midfield,0.7000000000000001
Ecuador,1,24085,Pervis Josué Estupiñán Tenorio,Fullback/Wingback,2.4166666666666665
Ecuador,2,31152,Gonzalo Jordy Plata Jiménez,Central/Wide Midfield,2.2777777777777777
Ecuador,3,30111,Felix Eduardo Torres Caicedo,Center Back,2.25
Ecuador,4,37726,Moisés Isaac Caicedo Corozo,Defensive Midfield,2.2222222222222223
Ecuador,5,28559,Enner Remberto Valencia Lastra,Attacking Midfield/Wing,2.2222222222222223
Ecuador,6,38004,Piero Martín Hincapié Reyna,Center Back,2.0833333333333335
Ecuador,7,37737,Angelo Smit Preciado Quiñónez,Fullback/Wingback,2.0555555555555554
Ecuador,8,34396,Michael Steveen Estrada Martínez,Forward,2.0
Ecuador,9,37522,Hernán Ismael Galíndez,Goalkeeper,1.6944444444444444
Ecuador,10,40211,Jeremy Leonel Sarmiento Morante,Central/Wide Midfield,1.6111111111111112
Ecuador,11,23830,Jhegson Sebastián Méndez Carabalí,Defensive Midfield,1.3888888888888888
England,1,3382,Luke Shaw,Fullback/Wingback,2.35
England,2,10955,Harry Kane,Forward,2.2
England,3,3244,John Stones,Center Back,2.15
England,4,3336,Harry Maguire,Center Back,2.1
England,5,3943,Declan Rice,Defensive Midfield,2.05
England,6,30714,Jude Bellingham,Defensive Midfield,2.0
England,7,22084,Bukayo Saka,Attacking Midfield/Wing,2.0
England,8,3468,Jordan Pickford,Goalkeeper,1.85
England,9,3532,Jordan Brian Henderson,Central/Wide Midfield,1.85
England,10,4354,Phil Foden,Attacking Midfield/Wing,1.8
England,11,3205,Kyle Walker,Fullback/Wingback,1.45
France,1,3009,Kylian Mbappé Lottin,Forward,2.791666666666667
France,2,5487,Antoine Griezmann,Attacking Midfield/Wing,2.6666666666666665
France,3,10481,Aurélien Djani Tchouaméni,Defensive Midfield,2.333333333333333
France,4,6704,Theo Bernard François Hernández,Fullback/Wingback,2.25
France,5,3026,Adrien Rabiot,Defensive Midfield,2.2083333333333335
France,6,5485,Raphaël Varane,Center Back,2.0416666666666665
France,7,4445,Jules Koundé,Fullback/Wingback,1.75
France,8,3099,Hugo Lloris,Goalkeeper,1.7083333333333335
France,9,8519,Dayotchanculle Upamecano,Center Back,1.5833333333333335
France,10,2972,Marcus Thuram,Central/Wide Midfield,1.4583333333333335
France,11,7153,Jordan Veretout,Central/Wide Midfield,0.9166666666666666
Germany,1,5579,Joshua Kimmich,Fullback/Wingback,2.5
Germany,2,39565,Jamal Musiala,Attacking Midfield/Wing,2.5
Germany,3,8400,Serge Gnabry,Attacking Midfield/Wing,2.3
Germany,4,6322,Niklas Süle,Fullback/Wingback,2.25
Germany,5,3167,Antonio Rüdiger,Center Back,2.0999999999999996
Germany,6,5562,Thomas Müller,Forward,2.05
Germany,7,12034,David Raum,Fullback/Wingback,1.9999999999999998
Germany,8,5570,Manuel Neuer,Goalkeeper,1.9
Germany,9,6324,Leon Goretzka,Defensive Midfield,1.5
Germany,10,8227,Mario Götze,Central/Wide Midfield,1.05
Germany,11,24118,Nico Schlotterbeck,Center Back,0.9500000000000001
Ghana,1,17033,Mohammed Kudus,Attacking Midfield/Wing,2.45
Ghana,2,6393,Iñaki Williams Arthuer,Forward,2.3499999999999996
Ghana,3,30519,Mohamed Salisu,Center Back,2.175
Ghana,4,6383,Thomas Teye Partey,Defensive Midfield,2.075
Ghana,5,3709,Daniel Amartey,Center Back,2.0250000000000004
Ghana,6,31029,Salis Abdul Samed,Defensive Midfield,2.0
Ghana,7,12325,Abdul Rahman Baba,Fullback/Wingback,2.0
Ghana,8,3347,André Ayew Pelé,Attacking Midfield/Wing,1.9500000000000002
Ghana,9,8108,Lawrence Ati-Zigi,Goalkeeper,1.875
Ghana,10,3450,Jordan Ayew,Attacking Midfield/Wing,1.75
Ghana,11,45047,Alidu Seidu,Fullback/Wingback,1.6500000000000001
Iran,1,5226,Mehdi Taremi,Forward,2.8095238095238093
Iran,2,5230,Ehsan Hajsafi,Fullback/Wingback,2.2857142857142856
Iran,3,5220,Morteza Pouraliganji,Center Back,2.238095238095238
Iran,4,5722,Saeid Ezatolahi Afagh,Defensive Midfield,2.095238095238095
Iran,5,5228,Seyed Majid Hosseini,Center Back,2.095238095238095
Iran,6,23874,Ali Gholizadeh,Central/Wide Midfield,2.0476190476190474
Iran,7,5235,Ramin Rezaeian,Fullback/Wingback,2.0
Iran,8,5224,Sardar Azmoun,Forward,1.9523809523809526
Iran,9,124161,Mehdi Torabi,Central/Wide Midfield,1.380952380952381
Iran,10,5239,Alireza Jahanbakhsh,Attacking Midfield/Wing,1.3333333333333335
Iran,11,125823,Seyed Hossein Hosseini,Goalkeeper,1.1904761904761905
Japan,1,9411,Daichi Kamada,Attacking Midfield/Wing,2.3636363636363638
Japan,2,23527,Junya Ito,Fullback/Wingback,2.3181818181818183
Japan,3,8361,Ritsu Doan,Attacking Midfield/Wing,2.090909090909091
Japan,4,3300,Maya Yoshida,Center Back,2.0681818181818183
Japan,5,23721,Wataru Endo,Defensive Midfield,2.0454545454545454
Japan,6,25719,Shūichi Gonda,Goalkeeper,1.9772727272727273
Japan,7,37221,Hidemasa Morita,Defensive Midfield,1.9545454545454546
Japan,8,8949,Takuma Asano,Forward,1.9090909090909092
Japan,9,29595,Ko Itakura,Center Back,1.8636363636363635
Japan,10,5690,Yuto Nagatomo,Fullback/Wingback,1.727272727272727
Japan,11,37122,Yuki Soma,Central/Wide Midfield,1.1363636363636362
Mexico,1,5571,Hirving Rodrigo Lozano Bahena,Attacking Midfield/Wing,2.4285714285714284
Mexico,2,5576,Jesús Daniel Gallardo Vasconcelos,Fullback/Wingback,2.380952380952381
Mexico,3,28825,Luis Gerardo Chávez Magallón,Defensive Midfield,2.2857142857142856
Mexico,4,5573,Héctor Alfredo Moreno Herrera,Center Back,2.238095238095238
Mexico,5,26368,César Jasib Montes Castro,Center Back,2.142857142857143
Mexico,6,26301,Ernesto Alexis Vega Rojas,Attacking Midfield/Wing,2.0952380952380953
Mexico,7,26400,Henry Josué Martín Mex,Forward,2.0476190476190474
Mexico,8,26406,Jorge Eduardo Sánchez Ramos,Fullback/Wingback,1.9523809523809523
Mexico,9,5577,Francisco Guillermo Ochoa Magaña,Goalkeeper,1.7619047619047619
Mexico,10,26297,Carlos Alberto Rodríguez Gómez,Central/Wide Midfield,1.0952380952380953
Mexico,11,5563,José Andrés Guardado Hernández,Central/Wide Midfield,0.47619047619047616
Morocco,1,5237,Hakim Ziyech,Attacking Midfield/Wing,2.6
Morocco,2,5245,Achraf Hakimi Mouh,Fullback/Wingback,2.32
Morocco,3,46258,Azzedine Ounahi,Central/Wide Midfield,2.32
Morocco,4,6301,Youssef En-Nesyri,Forward,2.2800000000000002
Morocco,5,3625,Sofiane Boufal,Central/Wide Midfield,2.2800000000000002
Morocco,6,5234,Sofyan Amrabat,Defensive Midfield,2.2800000000000002
Morocco,7,23774,Selim Amallah,Central/Wide Midfield,2.0
Morocco,8,5219,Romain Saïss,Center Back,1.8800000000000001
Morocco,9,6785,Yassine Bounou,Goalkeeper,1.88
Morocco,10,31295,Yahia Attiyat allah,Fullback/Wingback,1.6800000000000002
Morocco,11,12149,Nayef Aguerd,Center Back,1.44
Netherlands,1,8125,Denzel Dumfries,Fullback/Wingback,2.333333333333333
Netherlands,2,8118,Frenkie de Jong,Defensive Midfield,2.333333333333333
Netherlands,3,2988,Memphis Depay,Forward,2.1904761904761907
Netherlands,4,20750,Cody Mathès Gakpo,Attacking Midfield/Wing,2.1904761904761902
Netherlands,5,3311,Daley Blind,Fullback/Wingback,2.142857142857143
Netherlands,6,3306,Nathan Aké,Center Back,2.0
Netherlands,7,8326,Andries Noppert,Goalkeeper,1.9047619047619047
Netherlands,8,3669,Virgil van Dijk,Center Back,1.9047619047619047
Netherlands,9,8259,Steven Bergwijn,Forward,1.9047619047619047
Netherlands,10,7891,Teun Koopmeiners,Defensive Midfield,1.6666666666666667
Netherlands,11,21547,Noa Lang,Central/Wide Midfield,0.42857142857142855
Poland,1,5668,Robert Lewandowski,Forward,2.595238095238095
Poland,2,3034,Kamil Glik,Center Back,2.357142857142857
Poland,3,4734,Matty Cash,Fullback/Wingback,2.261904761904762
Poland,4,5673,Bartosz Bereszyński,Fullback/Wingback,2.1904761904761902
Poland,5,5660,Piotr Zieliński,Central/Wide Midfield,2.095238095238095
Poland,6,44166,Jakub Piotr Kiwior,Center Back,2.0476190476190474
Poland,7,31955,Jakub Kamiński,Central/Wide Midfield,1.9523809523809523
Poland,8,3637,Grzegorz Krychowiak,Defensive Midfield,1.9047619047619047
Poland,9,7979,Przemysław Frankowski,Central/Wide Midfield,1.8095238095238095
Poland,10,5669,Wojciech Szczęsny,Goalkeeper,1.7857142857142858
Poland,11,5667,Kamil Grosicki,Attacking Midfield/Wing,0.2857142857142857
Portugal,1,5204,Bruno Miguel Borges Fernandes,Attacking Midfield/Wing,2.4166666666666665
Portugal,2,3193,Bernardo Mota Veiga de Carvalho e Silva,Central/Wide Midfield,2.3333333333333335
Portugal,3,12041,João Félix Sequeira,Attacking Midfield/Wing,2.3333333333333335
Portugal,4,5207,Cristiano Ronaldo dos Santos Aveiro,Forward,2.208333333333333
Portugal,5,7005,João Pedro Cavaco Cancelo,Fullback/Wingback,2.1666666666666665
Portugal,6,20016,Kléper Laveran Lima Ferreira,Center Back,2.1666666666666665
Portugal,7,32975,Diogo Meireles Costa,Goalkeeper,2.041666666666667
Portugal,8,5206,Rúben Santos Gato Alves Dias,Center Back,2.0416666666666665
Portugal,9,5209,Raphaël Adelino José Guerreiro,Fullback/Wingback,1.9166666666666665
Portugal,10,9927,Rúben Diogo Da Silva Neves,Defensive Midfield,1.75
Portugal,11,11184,Otávio Edmilson da Silva Monteiro,Central/Wide Midfield,1.5833333333333335
Qatar,1,40784,Akram Hassan Afif,Forward,2.75
Qatar,2,124493,Boualem Khoukhi,Center Back,2.5
Qatar,3,124506,Pedro Miguel Correia,Center Back,2.35
Qatar,4,124494,Abdelkarim Hassan Al Haj Fadlalla,Center Back,2.3499999999999996
Qatar,5,124900,Homam Alamin Ahmed,Fullback/Wingback,2.3
Qatar,6,124495,Almoez Ali Zainalabiddin Abdulla,Forward,2.25
Qatar,7,124514,Abdulaziz Hatem Mohammed Abdullah,Central/Wide Midfield,2.1999999999999997
Qatar,8,124488,Hassan Khalid Al Heidos,Central/Wide Midfield,2.1500000000000004
Qatar,9,124492,Karim Boudiaf,Defensive Midfield,1.9500000000000002
Qatar,10,124899,Ismaeel Mohammad Mohammad,Fullback/Wingback,1.75
Qatar,11,124510,Meshaal Aissa Barsham,Goalkeeper,1.25
Saudi Arabia,1,5187,Salem Mohammed Al Dawsari,Central/Wide Midfield,2.6739130434782608
Saudi Arabia,2,5713,Mohammed Kanoo,Central/Wide Midfield,2.630434782608696
Saudi Arabia,3,51710,Saud Abdullah Abdul Hamid,Fullback/Wingback,2.456521739130435
Saudi Arabia,4,51099,Firas Tariq Nasser Al Albirakan,Central/Wide Midfield,2.4347826086956523
Saudi Arabia,5,51469,Saleh Khalid Al Shehri,Forward,2.3478260869565215
Saudi Arabia,6,54144,Nawaf Shaker Al Abid,Attacking Midfield/Wing,1.9130434782608696
Saudi Arabia,7,5714,Mohammed Khalil Al Owais,Goalkeeper,1.8478260869565217
Saudi Arabia,8,57620,Sultan Abdullah Salim Al Ghannam,Fullback/Wingback,1.7391304347826084
Saudi Arabia,9,5715,Ali Albulayhi,Center Back,1.6956521739130435
Saudi Arabia,10,51094,Abdulelah Al Amri,Center Back,1.652173913043478
Saudi Arabia,11,56755,Abdulelah Saad Hameed Al-Malki,Defensive Midfield,1.5217391304347827
Senegal,1,3404,Youssouf Sabaly,Fullback/Wingback,2.55
Senegal,2,2941,Ismaïla Sarr,Attacking Midfield/Wing,2.5
Senegal,3,20611,Boulaye Dia,Attacking Midfield/Wing,2.05
Senegal,4,5675,Kalidou Koulibaly,Center Back,2.0
Senegal,5,3436,Idrissa Gana Gueye,Attacking Midfield/Wing,1.9500000000000002
Senegal,6,7379,Edouard Mendy,Goalkeeper,1.95
Senegal,7,32915,Ismail Jakobs,Fullback/Wingback,1.9000000000000001
Senegal,8,4506,Nampalys Mendy,Defensive Midfield,1.9
Senegal,9,20758,Krépin Diatta,Attacking Midfield/Wing,1.85
Senegal,10,8553,Abdou Diallo,Center Back,1.75
Senegal,11,88123,Cheikh Ahmadou Bamba Mbacke Dieng,Forward,1.6
Serbia,1,4269,Aleksandar Mitrović,Forward,2.5652173913043477
Serbia,2,3831,Dušan Tadić,Attacking Midfield/Wing,2.5652173913043477
Serbia,3,6687,Saša Lukić,Defensive Midfield,2.347826086956522
Serbia,4,5589,Sergej Milinković-Savić,Attacking Midfield/Wing,2.304347826086956
Serbia,5,5603,Nikola Milenković,Center Back,2.0652173913043477
Serbia,6,6318,Andrija Živković,Fullback/Wingback,2.0434782608695654
Serbia,7,5591,Filip Kostić,Fullback/Wingback,2.0
Serbia,8,20600,Vanja Milinković Savić,Goalkeeper,1.9782608695652173
Serbia,9,27719,Strahinja Pavlović,Center Back,1.8695652173913042
Serbia,10,18015,Dušan Vlahović,Forward,1.8260869565217392
Serbia,11,3512,Marko Grujić,Central/Wide Midfield,0.6086956521739131
South Korea,1,3083,Heung-Min Son,Attacking Midfield/Wing,2.666666666666667
South Korea,2,40672,Moon-Hwan Kim,Fullback/Wingback,2.4761904761904763
South Korea,3,40542,Gue-Sung Cho,Forward,2.2857142857142856
South Korea,4,5604,Young-Gwon Kim,Center Back,2.0952380952380953
South Korea,5,23763,In-Beom Hwang,Defensive Midfield,2.095238095238095
South Korea,6,40538,Jin-Su Kim,Fullback/Wingback,2.0476190476190474
South Korea,7,37641,Seung-Gyu Kim,Goalkeeper,1.9047619047619047
South Korea,8,5623,Jae-Sung Lee,Attacking Midfield/Wing,1.8095238095238095
South Korea,9,22740,Kang-In Lee,Central/Wide Midfield,1.6666666666666665
South Korea,10,5620,Hee-Chan Hwang,Central/Wide Midfield,1.5714285714285714
South Korea,11,43565,Min Jae Kim,Center Back,1.4285714285714286
Spain,1,16532,Daniel Olmo Carvajal,Attacking Midfield/Wing,2.619047619047619
Spain,2,30486,Pedro González López,Central/Wide Midfield,2.333333333333333
Spain,3,5719,Marco Asensio Willemsen,Forward,2.238095238095238
Spain,4,6765,Rodrigo Hernández Cascante,Center Back,2.2142857142857144
Spain,5,133353,Pablo Martín Páez Gavira,Central/Wide Midfield,2.142857142857143
Spain,6,5203,Sergio Busquets i Burgos,Defensive Midfield,2.0476190476190474
Spain,7,3477,Álvaro Borja Morata Martín,Forward,2.0
Spain,8,11748,Unai Simón Mendibil,Goalkeeper,1.9761904761904763
Spain,9,5211,Jordi Alba Ramos,Fullback/Wingback,1.952380952380952
Spain,10,4353,Aymeric Laporte,Center Back,1.7142857142857142
Spain,11,39161,Alejandro Balde Martínez,Fullback/Wingback,1.2857142857142856
Switzerland,1,5545,Breel-Donald Embolo,Forward,2.541666666666667
Switzerland,2,3500,Granit Xhaka,Defensive Midfield,2.5208333333333335
Switzerland,3,5544,Ricardo Iván Rodríguez Araya,Fullback/Wingback,2.458333333333333
Switzerland,4,5549,Manuel Obafemi Akanji,Center Back,2.4375
Switzerland,5,30401,Ruben Vargas,Attacking Midfield/Wing,2.333333333333333
Switzerland,6,6983,Remo Freuler,Defensive Midfield,2.2916666666666665
Switzerland,7,7796,Silvan Widmer,Fullback/Wingback,2.2083333333333335
Switzerland,8,3533,Xherdan Shaqiri,Central/Wide Midfield,1.9583333333333335
Switzerland,9,5550,Yann Sommer,Goalkeeper,1.6666666666666667
Switzerland,10,8814,Nico Elvedi,Center Back,1.375
Switzerland,11,29006,Noah Okafor,Central/Wide Midfield,1.3333333333333333
Tunisia,1,32450,Montassar Omar Talbi,Center Back,2.3095238095238093
Tunisia,2,3767,Ellyes Joris Skhiri,Defensive Midfield,2.3095238095238093
Tunisia,3,23910,Youssef Msakni,Attacking Midfield/Wing,2.238095238095238
Tunisia,4,16352,Issam Jebali,Forward,2.238095238095238
Tunisia,5,30681,Ali Abdi,Fullback/Wingback,2.1904761904761902
Tunisia,6,44955,Aïssa Bilal Laïdouni,Defensive Midfield,2.1428571428571432
Tunisia,7,35592,Anis Ben Slimane,Attacking Midfield/Wing,1.9523809523809523
Tunisia,8,5651,Yassine Meriah,Center Back,1.9285714285714286
Tunisia,9,105943,Aymen Dahmen,Goalkeeper,1.8333333333333333
Tunisia,10,3557,Naïm Sliti,Attacking Midfield/Wing,1.7142857142857142
Tunisia,11,9236,Mohamed Dräger,Fullback/Wingback,1.6666666666666665
United States,1,12751,Tyler Adams,Defensive Midfield,2.3
United States,2,38792,Yunus Dimoara Musah,Central/Wide Midfield,2.25
United States,3,8246,Christian Pulisic,Attacking Midfield/Wing,2.25
United States,4,18242,Tim Ream,Center Back,2.2
United States,5,4614,Antonee Robinson,Fullback/Wingback,2.2
United States,6,3377,Timothy Weah,Attacking Midfield/Wing,2.05
United States,7,22168,Joshua Sargent,Forward,2.0
United States,8,12352,Matthew Charles Turner,Goalkeeper,1.9
United States,9,21881,Sergino Dest,Fullback/Wingback,1.7999999999999998
United States,10,8526,Weston McKennie,Central/Wide Midfield,1.7500000000000002
United States,11,12524,Walker Zimmerman,Center Back,1.5
Uruguay,1,5259,José María Giménez de Vargas,Center Back,2.3684210526315788
Uruguay,2,6773,Federico Santiago Valverde Dipetta,Defensive Midfield,2.3684210526315788
Uruguay,3,7104,Mathías Olivera Miramontes,Fullback/Wingback,2.3157894736842106
Uruguay,4,32478,Darwin Gabriel Núñez Ribeiro,Attacking Midfield/Wing,2.3157894736842106
Uruguay,5,5260,Rodrigo Bentancur Colmán,Defensive Midfield,2.1052631578947367
Uruguay,6,36710,Sergio Rochet Álvarez,Goalkeeper,1.8947368421052633
Uruguay,7,5255,Matías Vecino Falero,Central/Wide Midfield,1.894736842105263
Uruguay,8,5246,Luis Alberto Suárez Díaz,Forward,1.7894736842105263
Uruguay,9,5264,Guillermo Varela Olivera,Fullback/Wingback,1.736842105263158
Uruguay,10,6300,Sebastián Coates Nión,Center Back,1.4736842105263157
Uruguay,11,5258,Giorgian Daniel De Arrascaeta Benedetti,Central/Wide Midfield,1.3684210526315788
Wales,1,3517,Aaron Ramsey,Central/Wide Midfield,2.5555555555555554
Wales,2,3853,Kieffer Roberto Francisco Moore,Forward,2.2222222222222223
Wales,3,4934,Ethan Ampadu,Defensive Midfield,2.166666666666667
Wales,4,6399,Gareth Frank Bale,Forward,2.1666666666666665
Wales,5,4767,Chris Mepham,Center Back,2.138888888888889
Wales,6,11250,Joe Rodon,Center Back,2.138888888888889
Wales,7,4774,Connor Roberts,Fullback/Wingback,1.888888888888889
Wales,8,34794,Neco Williams,Fullback/Wingback,1.8888888888888888
Wales,9,11252,Daniel James,Attacking Midfield/Wing,1.6111111111111112
Wales,10,9540,Harry Wilson,Central/Wide Midfield,1.611111111111111
Wales,11,3488,Wayne Hennessey,Goalkeeper,1.2777777777777777
