team,defensive_style,actual_style,optimal_style,possessions,wasted_net_xg,mean_eva_gap
Croatia,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,28,0.1848336712151413,0.0066012025433979035
Croatia,Compact Pressure Block,Direct Long Play,Patient Build-up,18,0.11559761406604428,0.006422089670335794
Croatia,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,17,0.10917552439570849,0.006422089670335794
Croatia,Wide Retreating Block,Direct Long Play,Patient Build-up,13,0.0834871657143653,0.006422089670335793
Croatia,High-Intensity Press,Direct Long Play,Patient Build-up,5,0.032110448351678963,0.006422089670335793
Croatia,Compact Pressure Block,Patient Build-up,Patient Build-up,117,0.0,0.0
Croatia,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,6,0.0,0.0
Croatia,Wide Retreating Block,Patient Build-up,Patient Build-up,229,0.0,0.0
Denmark,Compact Pressure Block,Short Under Pressure,Patient Build-up,37,0.19895972593109382,0.005377289890029563
Denmark,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,18,0.09679121802053213,0.005377289890029563
Denmark,Compact Pressure Block,Direct Long Play,Patient Build-up,9,0.09403579374986885,0.010448421527763206
Denmark,Wide Retreating Block,Short Under Pressure,Patient Build-up,17,0.09141392813050256,0.005377289890029563
Denmark,Wide Retreating Block,Direct Long Play,Patient Build-up,6,0.06269052916657923,0.010448421527763206
Denmark,High-Intensity Press,Short Under Pressure,Patient Build-up,8,0.0430183191202365,0.005377289890029563
Denmark,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,3,0.031345264583289616,0.010448421527763206
Denmark,Compact Pressure Block,Patient Build-up,Patient Build-up,55,0.0,0.0
Denmark,High-Intensity Press,Patient Build-up,Patient Build-up,1,0.0,0.0
Denmark,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,5,0.0,0.0
Denmark,Wide Retreating Block,Patient Build-up,Patient Build-up,85,0.0,0.0
Ecuador,Wide Retreating Block,Patient Build-up,Short Under Pressure,63,0.4825106911966037,0.007658899860263551
Ecuador,Compact Pressure Block,Patient Build-up,Short Under Pressure,49,0.375286093152914,0.007658899860263551
Ecuador,Compact Pressure Block,Direct Long Play,Short Under Pressure,14,0.1689771050837334,0.012069793220266672
Ecuador,Set-Piece Compact Shape,Direct Long Play,Short Under Pressure,10,0.12069793220266672,0.012069793220266672
Ecuador,High-Intensity Press,Direct Long Play,Short Under Pressure,3,0.03620937966080001,0.01206979322026667
Ecuador,Set-Piece Compact Shape,Patient Build-up,Short Under Pressure,4,0.030635599441054207,0.007658899860263552
Ecuador,Wide Retreating Block,Direct Long Play,Short Under Pressure,2,0.024139586440533344,0.012069793220266672
