Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
141,8,Rafael Alexandre Conceição Leão,Portugal,Attacking Midfield/Wing,60.1
142,1,Keysher Fuller Spence,Costa Rica,Fullback/Wingback,60.1
143,9,Ricardo Jorge Luz Horta,Portugal,Attacking Midfield/Wing,60.1
144,9,Antonio Rüdiger,Germany,Center Back,60.1
145,10,Joshua Kimmich,Germany,Fullback/Wingback,60
146,12,Nikola Vlašić,Croatia,Attacking Midfield/Wing,60
147,1,Ismaeel Mohammad Mohammad,Qatar,Fullback/Wingback,60
148,10,Enzo Fernandez,Argentina,Defensive Midfield,60
149,2,Mitchell Thomas Duke,Australia,Forward,59.9
150,8,Davy Klaassen,Netherlands,Attacking Midfield/Wing,59.9
151,7,Alejandro Balde Martínez,Spain,Fullback/Wingback,59.9
152,2,Gonzalo Jordy Plata Jiménez,Ecuador,Central/Wide Midfield,59.9
153,2,Daichi Kamada,Japan,Attacking Midfield/Wing,59.9
154,4,Saleh Khalid Al Shehri,Saudi Arabia,Forward,59.9
155,3,Jean-Charles Castelletto,Cameroon,Center Back,59.8
156,4,Aymen Dahmen,Tunisia,Goalkeeper,59.8
157,10,João Pedro Cavaco Cancelo,Portugal,Fullback/Wingback,59.8
158,3,Ramin Rezaeian,Iran,Fullback/Wingback,59.8
159,3,Ao Tanaka,Japan,Defensive Midfield,59.8
160,3,Piotr Zieliński,Poland,Central/Wide Midfield,59.8
161,5,Cyle Larin,Canada,Forward,59.7
162,3,Youssouf Sabaly,Senegal,Fullback/Wingback,59.7
163,3,Mathew Leckie,Australia,Central/Wide Midfield,59.7
164,4,Jean-Eric Maxim Choupo-Moting,Cameroon,Forward,59.7
165,7,Yahia Attiyat allah,Morocco,Fullback/Wingback,59.7
166,8,Jules Koundé,France,Fullback/Wingback,59.7
167,8,Abderrazak Hamdallah,Morocco,Forward,59.6
168,2,Almoez Ali Zainalabiddin Abdulla,Qatar,Forward,59.6
169,9,Jordan Brian Henderson,England,Central/Wide Midfield,59.6
170,11,Leon Goretzka,Germany,Defensive Midfield,59.6
171,4,Junya Ito,Japan,Fullback/Wingback,59.6
172,5,Ritsu Doan,Japan,Attacking Midfield/Wing,59.6
173,10,Pedro Guilherme Abreu dos Santos,Brazil,Forward,59.6
174,6,Shūichi Gonda,Japan,Goalkeeper,59.6
175,5,Dušan Vlahović,Serbia,Forward,59.5
176,5,Manuel Obafemi Akanji,Switzerland,Center Back,59.5
177,11,Gabriel Fernando de Jesus,Brazil,Forward,59.5
178,10,John Stones,England,Center Back,59.5
179,12,Bruno Guimarães Rodriguez Moura,Brazil,Defensive Midfield,59.5
180,9,Sergino Dest,United States,Fullback/Wingback,59.5
181,8,Pablo Martín Páez Gavira,Spain,Central/Wide Midfield,59.5
182,3,Pervis Josué Estupiñán Tenorio,Ecuador,Fullback/Wingback,59.4
183,4,Idrissa Gana Gueye,Senegal,Attacking Midfield/Wing,59.4
184,9,Romain Saïss,Morocco,Center Back,59.3
185,10,Yunus Dimoara Musah,United States,Central/Wide Midfield,59.3
186,13,Dejan Lovren,Croatia,Center Back,59.3
187,14,Borna Sosa,Croatia,Fullback/Wingback,59.3
188,11,Callum Wilson,England,Forward,59.3
189,4,Dries Mertens,Belgium,Attacking Midfield/Wing,59.3
190,5,Mohammed Kanoo,Saudi Arabia,Central/Wide Midfield,59.2
191,4,Rodrigo Bentancur Colmán,Uruguay,Defensive Midfield,59.2
192,13,Éder Gabriel Militão,Brazil,Fullback/Wingback,59.2
193,9,Unai Simón Mendibil,Spain,Goalkeeper,59.2
194,4,Michael Steveen Estrada Martínez,Ecuador,Forward,59.2
195,12,Raheem Sterling,England,Attacking Midfield/Wing,59.2
196,5,Famara Diedhiou,Senegal,Forward,59.2
197,7,Daizen Maeda,Japan,Forward,59.1
198,5,Yannick Ferreira Carrasco,Belgium,Attacking Midfield/Wing,59.1
199,9,Marcus Thuram,France,Central/Wide Midfield,59.1
200,6,Andrija Živković,Serbia,Fullback/Wingback,59
