player_name,team,position,minutes,vaep_off_p90,vaep_def_p90,vaep_per_touch,xt_p90,final_player_rating,team_rank
Jackson Irvine,Australia,Left Center Forward,373.75,0.06854486199061582,-0.059657394564998675,0.00010984427745781778,0.028489766857970188,0.10881740030935698,2
Aziz Eraltay Behich,Australia,Left Back,386.91666666666663,0.14657194568501947,-0.0024829312731037907,0.0011754257043968732,0.04350465011561457,0.079340684029996,3
Aaron Mooy,Australia,Left Defensive Midfield,386.91666666666663,0.004712561473969667,-0.019861982660128386,-0.00011798638380189031,0.02938171071046932,0.012129108290050039,4
Kye Rowles,Australia,Left Center Back,386.91666666666663,-0.006695732576325264,-0.10351188909124767,-0.0010080653810136744,0.0020336144630244742,-0.03461184338950983,5
Harry Souttar,Australia,Right Center Back,386.91666666666663,0.0133130953712086,-0.19574624358562995,-0.0019270113457993407,0.0055614206039666285,-0.05471079267137076,6
Mathew Ryan,Australia,Goalkeeper,386.91666666666663,-0.01617112316355878,-0.12690107315388993,-0.0018752377131377438,0.0018585785890965253,-0.06299969594217443,7
Richarlison de Andrade,Brazil,Center Forward,328.25,0.6163563275730052,0.09160657599829924,0.009931146286208576,0.011899983468178117,0.29839485350558603,1
Raphael Dias Belloli,Brazil,Right Wing,330.45,0.47139562503986937,0.006032141934159959,0.003457506149387859,0.16975239176592852,0.24196605125751958,2
Vinícius José Paixão de Oliveira Júnior,Brazil,Left Midfield,306.58333333333337,0.553662387023647,0.02984754673918427,0.004755300917759739,0.12379227922543072,0.2295944673639358,3
Lucas Tolentino Coelho de Lima,Brazil,Right Defensive Midfield,318.76666666666665,0.13807622089565857,0.016669727758728978,0.0009615565347510774,0.042519170285442026,0.05893841497001845,4
Éder Gabriel Militão,Brazil,Right Back,363.58333333333337,0.11579417223343465,-0.04813258889114811,0.0003739264935430868,0.032428877201401245,0.05699580028073842,5
Carlos Henrique Casimiro,Brazil,Left Defensive Midfield,409.0666666666667,0.017263803157058083,-0.032131007141361655,-0.00010161533127004924,0.04604122072489592,0.013702499551659855,6
Thiago Emiliano da Silva,Brazil,Right Center Back,409.0666666666667,0.04261297635056563,-0.027021468915189258,7.93575460358089e-05,0.028145663139598945,0.004239638457867744,7
Marcos Aoás Corrêa,Brazil,Left Center Back,455.0166666666667,-0.014627684904392223,-0.00940657778790645,-0.00012578778578376776,0.034047436408548876,-0.006466031383484183,8
Alisson Ramsés Becker,Brazil,Goalkeeper,394.98333333333335,0.0006749019879556606,-0.11001034936508579,-0.00256599402593643,0.0012522754455118205,-0.05370079697601446,9
Ivan Perišić,Croatia,Left Wing,686.8166666666666,0.412787932099086,-0.005752214872024001,0.003413417759708994,0.06521044025117179,0.21436919772653526,1
Andrej Kramarić,Croatia,Right Wing,478.43333333333334,0.33809507722933246,0.026677646516398534,0.0032157624862861477,0.010248059268859841,0.19372843942023768,2
Mateo Kovačić,Croatia,Left Center Midfield,649.9166666666667,0.23364181360113118,-0.008249357347198118,0.0012293245540480756,0.06453118853866747,0.13018393734645922,3
Luka Modrić,Croatia,Right Center Midfield,672.6666666666666,0.10517778512537762,-0.018490536878673716,0.0004237455295444819,0.09209285057152479,0.08576828257103054,4
Borna Sosa,Croatia,Left Back,440.4666666666667,0.1443421497498015,-0.01442958512575962,0.0008638610250312448,0.06824390374434126,0.07813897445369905,5
Josip Juranović,Croatia,Right Back,624.1333333333333,0.11415810130319635,-0.07888547149409371,0.00023748461724043082,0.06950730377671026,0.04636829704949713,6
Marcelo Brozović,Croatia,Center Defensive Midfield,569.8666666666667,0.018475980014930726,-0.0460829824240823,-0.00011915708884012605,0.024508759674718047,0.004494168860213808,7
Joško Gvardiol,Croatia,Left Center Back,720.2833333333333,0.04431213395330392,-0.06343350654097223,-0.00011219294546557798,0.019288334895833176,-0.006495508369852976,8
Dejan Lovren,Croatia,Right Center Back,624.1333333333333,0.04079996041674003,-0.06480874916250617,-0.00013828613279061314,0.01228672347824421,-0.009175895170995128,9
Dominik Livaković,Croatia,Goalkeeper,720.2833333333333,0.014215950647894016,-0.22746458740561806,-0.003686091646571698,0.0029374534143543824,-0.09085344538580094,10
