player_name,team,position,minutes,vaep_off_p90,vaep_def_p90,vaep_per_touch,xt_p90,final_player_rating,team_rank
Aziz Eraltay Behich,Australia,Left Back,386.91666666666663,0.10548678781816566,-0.0206066048347044,0.0006924216206202308,0.039102912985408696,0.050468400574998434,3
Aaron Mooy,Australia,Left Defensive Midfield,386.91666666666663,0.11812409617264734,-0.03486011213557396,0.0006484747012280792,0.024806615171641996,0.046787857463233516,4
Harry Souttar,Australia,Right Center Back,386.91666666666663,0.02322173078007669,-0.14941665226120834,-0.0013329762044701386,0.0028987185959661443,-0.06291760988271364,5
Kye Rowles,Australia,Left Center Back,386.91666666666663,-0.015040145221726151,-0.1276379875328164,-0.0013050720456645804,0.00011178118978008396,-0.07170823175301463,6
Mathew Ryan,Australia,Goalkeeper,386.91666666666663,-0.020386779774822845,-0.30519038348508054,-0.004267318114881807,0.0013266119264526818,-0.1638034546791257,7
Richarlison de Andrade,Brazil,Center Forward,328.25,1.249704511469281,0.13312040465622885,0.019397960628982847,0.014027585622763213,0.7000373633760025,1
Raphael Dias Belloli,Brazil,Right Wing,330.45,0.6036169214231857,-0.003996979805826465,0.004342415290542545,0.1793113677325721,0.3369749689423568,2
Vinícius José Paixão de Oliveira Júnior,Brazil,Left Midfield,306.58333333333337,0.6542447086326301,-0.056432892448038716,0.004871853782879478,0.11524688718569338,0.3234168416642982,3
Carlos Henrique Casimiro,Brazil,Left Defensive Midfield,409.0666666666667,0.47462120510199035,-0.042307011293793516,0.0029548091263793884,0.03529251924980953,0.22410204349197413,4
Lucas Tolentino Coelho de Lima,Brazil,Right Defensive Midfield,318.76666666666665,0.3948843956515312,0.03147484503400253,0.0026493004669758016,0.03319643712956553,0.2206136979087727,5
Alisson Ramsés Becker,Brazil,Goalkeeper,394.98333333333335,-0.016022949886195355,0.43578154999887975,0.009851316165647165,0.0009046519823399057,0.21301562530250434,6
Éder Gabriel Militão,Brazil,Right Back,363.58333333333337,0.12024597781691114,-0.02533970579623223,0.0005244921528426587,0.016420394494799137,0.05089456255515208,7
Marcos Aoás Corrêa,Brazil,Left Center Back,455.0166666666667,0.07619383314247034,-0.02492025816940319,0.00026834979494281625,0.024421071404167313,0.030601506705849886,8
