player,team,position_group,functional_role,old_rating,new_rating,rating_diff,old_global_rank,new_global_rank,old_team_rank,new_team_rank,progression_score,creation_score,finishing_score,pressing_score,defensive_score,ball_security_score,aerial_score,role_adjusted_value,completeness_score,off_ball_score
Pedro González López,Spain,Central/Wide Midfield,Ball-Winner,0.1236167241424772,0.6920542344923024,0.5684375103498253,36,30,2,2,0.7595573440643862,0.7863849765258216,0.1784037558685446,0.8415492957746479,0.6394366197183099,0.6746478873239437,0.522887323943662,0.6783046970726146,0.6598212659709715,0.6067152917505029
Piotr Zieliński,Poland,Central/Wide Midfield,Ball-Winner,0.0951634694866436,0.6629666838509649,0.5678032143643214,48,40,2,2,0.5784708249496981,0.7957746478873239,0.7253521126760564,0.6514084507042253,0.4830985915492958,0.6669014084507041,0.3732394366197183,0.6315089985479921,0.8459525364233678,0.5357394366197183
Bernardo Mota Veiga de Carvalho e Silva,Portugal,Central/Wide Midfield,Ball-Winner,0.1382160706198782,0.7058559769089903,0.5676399062891121,32,28,4,4,0.6519114688128773,0.5974178403755869,0.33098591549295775,0.7640845070422535,0.3936619718309859,0.6901408450704224,0.16549295774647887,0.5674629805285178,0.7253305756342273,0.616976861167002
Hakim Ziyech,Morocco,Attacking Midfield/Wing,Box-to-Box Runner,0.1034082890228993,0.670715973206416,0.5673076841835166,41,37,3,2,0.6448692152917506,0.7077464788732395,0.7863849765258216,0.7059859154929576,0.5450704225352113,0.29084507042253516,0.27992957746478875,0.6100407330938031,0.7362412841113429,0.6588782696177061
Luke Shaw,England,Fullback/Wingback,Wide Creator,0.1222964503724424,0.6890760219718199,0.5667795715993775,37,33,2,2,0.7092555331991951,0.8051643192488264,0.392018779342723,0.40492957746478875,0.4028169014084507,0.4521126760563381,0.45070422535211263,0.5483567551284229,0.68600446116719,0.4835764587525151
Daley Blind,Netherlands,Fullback/Wingback,Wide Creator,0.0791281209152631,0.6448554796443361,0.565727358729073,55,50,3,3,0.5553319919517102,0.665492957746479,0.7018779342723005,0.5193661971830986,0.606338028169014,0.6154929577464789,0.454225352112676,0.595757169538171,0.8991287868682698,0.5673792756539235
Heung-Min Son,South Korea,Attacking Midfield/Wing,Target Forward,0.2081616277904931,0.7722660602425078,0.5641044324520147,19,13,1,1,0.3883299798792757,0.6549295774647887,0.6220657276995305,0.4894366197183099,0.3204225352112676,0.3725352112676056,0.1637323943661972,0.4677924445627775,0.7333294907898222,0.510940643863179
Antonee Robinson,United States,Fullback/Wingback,Wide Creator,0.0958151041239287,0.6599069117924508,0.5640918076685221,47,42,4,3,0.7293762575452717,0.7335680751173709,0.1784037558685446,0.641725352112676,0.617605633802817,0.445774647887324,0.2306338028169014,0.5709248716279905,0.6509173922079379,0.541725352112676
Raphael Dias Belloli,Brazil,Attacking Midfield/Wing,Progressive Winger,0.2419660512575195,0.8032156856361308,0.5612496343786113,10,4,2,1,0.49798792756539234,0.6913145539906104,0.7065727699530516,0.6778169014084507,0.4147887323943662,0.3830985915492958,0.07746478873239436,0.5523447303379454,0.7603488128897496,0.6182595573440643
Christian Pulisic,United States,Attacking Midfield/Wing,Progressive Winger,0.2495722030316429,0.8091856181695666,0.5596134151379237,9,3,1,1,0.6448692152917506,0.7605633802816901,0.8896713615023474,0.7464788732394367,0.4147887323943662,0.36971830985915494,0.40669014084507044,0.6477577290855319,0.7052454199424651,0.630658953722334
João Pedro Cavaco Cancelo,Portugal,Fullback/Wingback,Box-to-Box Runner,0.1023384889505622,0.6610558725168261,0.5587173835662639,42,41,6,6,0.6348088531187123,0.5727699530516431,0.37558685446009393,0.5492957746478874,0.7098591549295774,0.2352112676056338,0.9665492957746479,0.6348377119180502,0.6871191335608886,0.50067907444668
Rodrigo Javier De Paul,Argentina,Defensive Midfield,Box-to-Box Runner,0.0939667030276076,0.6509222899862925,0.556955586958685,49,45,7,6,0.7032193158953722,0.6490610328638498,0.5446009389671361,0.7341549295774648,0.6464788732394366,0.5338028169014084,0.2517605633802817,0.6078370817747779,0.8828478978880215,0.6246730382293763
Yunus Dimoara Musah,United States,Central/Wide Midfield,Ball-Winner,0.1004548112414245,0.6564815020422547,0.5560266908008302,44,43,3,4,0.5372233400402414,0.5375586854460094,0.4953051643192488,0.830105633802817,0.4964788732394366,0.7049295774647888,0.2975352112676056,0.5874719329269295,0.7920639899813087,0.6007293762575453
Sergino Dest,United States,Fullback/Wingback,Box-to-Box Runner,0.0740715113120621,0.6296455960476263,0.5555740847355641,62,54,5,5,0.6559356136820925,0.6807511737089201,0.5727699530516431,0.5140845070422535,0.5288732394366197,0.6288732394366198,0.27992957746478875,0.5711550925118842,0.8949115223849041,0.5023893360160966
Youssouf Sabaly,Senegal,Fullback/Wingback,Box-to-Box Runner,0.0748589912334513,0.6299878772531166,0.5551288860196653,60,53,3,3,0.6297786720321933,0.8286384976525821,0.33568075117370894,0.5484154929577465,0.526056338028169,0.7211267605633802,0.35915492957746475,0.5983079729995127,0.73943805721768,0.46519114688128776
João Félix Sequeira,Portugal,Attacking Midfield/Wing,Target Forward,0.2101351241560168,0.7616404050826237,0.5515052809266069,18,15,2,1,0.30885311871227367,0.5516431924882629,0.8732394366197184,0.45598591549295775,0.5014084507042254,0.6091549295774648,0.43309859154929575,0.5678193243769103,0.687446579007394,0.5015342052313884
Azzedine Ounahi,Morocco,Central/Wide Midfield,Ball-Winner,0.0974122592998062,0.6488274395296123,0.5514151802298061,46,47,4,3,0.5321931589537223,0.5704225352112676,0.4647887323943662,0.8433098591549295,0.5887323943661972,0.4887323943661972,0.24119718309859156,0.5679107796508233,0.7854153166215987,0.5519869215291751
Borna Sosa,Croatia,Fullback/Wingback,Wide Creator,0.078138974453699,0.6291769442058943,0.5510379697521953,57,55,5,5,0.6931589537223342,0.6455399061032864,0.34507042253521125,0.47887323943661975,0.5795774647887324,0.4063380281690141,0.28521126760563376,0.5182315326382758,0.7610110638071292,0.497258551307847
Jin-Su Kim,South Korea,Fullback/Wingback,Attacking Wingback,0.0983482177347741,0.6482998821019401,0.549951664367166,45,48,2,2,0.41348088531187127,0.6995305164319249,0.5070422535211269,0.4841549295774648,0.6359154929577464,0.2711267605633803,0.7411971830985915,0.5665098008278049,0.7200593134075373,0.5357394366197182
Mathew Leckie,Australia,Central/Wide Midfield,Target Forward,0.1367941618920142,0.6859835130042983,0.5491893511122841,33,34,1,1,0.3028169014084507,0.5035211267605634,0.5211267605633804,0.8529929577464789,0.606338028169014,0.2661971830985915,0.818661971830986,0.6085449269794332,0.6156813832504744,0.5879024144869216
Denzel Dumfries,Netherlands,Fullback/Wingback,Attacking Wingback,0.0779784395924314,0.6271501464966756,0.5491717069042441,58,56,4,4,0.4818913480885311,0.6050469483568075,0.5328638497652581,0.4859154929577465,0.5943661971830985,0.1211267605633803,0.5704225352112676,0.5172659700923825,0.6529605141491502,0.6075704225352112
Moon-Hwan Kim,South Korea,Fullback/Wingback,Attacking Wingback,0.0784419730379828,0.6267809560329397,0.5483389829949569,56,57,3,3,0.41247484909456744,0.6161971830985916,0.1784037558685446,0.5440140845070423,0.7964788732394366,0.6718309859154928,0.7852112676056338,0.6222937828502656,0.6304363143211122,0.5665241448692153
Marcos Javier Acuña,Argentina,Fullback/Wingback,Attacking Wingback,0.1686827783150666,0.717003843496092,0.5483210651810254,26,24,4,4,0.4346076458752515,0.5586854460093896,0.37089201877934275,0.6126760563380282,0.7056338028169014,0.3394366197183099,0.7024647887323943,0.5574383034471723,0.7372567289782043,0.49127263581488934
Daniel Olmo Carvajal,Spain,Attacking Midfield/Wing,Progressive Winger,0.2554192843069856,0.8019989300118195,0.546579645704834,8,5,1,1,0.45774647887323944,0.5704225352112676,0.8732394366197184,0.7359154929577465,0.6084507042253521,0.4422535211267606,0.16725352112676056,0.6059690165618373,0.7533532171084544,0.6392102615694164
Yahia Attiyat allah,Morocco,Fullback/Wingback,Wide Creator,0.0838519493593532,0.6301249414645459,0.5462729921051928,53,52,5,5,0.506036217303823,0.67018779342723,0.4741784037558685,0.6355633802816901,0.5415492957746479,0.37042253521126756,0.20950704225352113,0.5158083768168141,0.8123301717954534,0.41003521126760567
Nicolás Alejandro Tagliafico,Argentina,Fullback/Wingback,Wide Creator,0.102015405704441,0.6477599498276639,0.5457445441232229,43,49,6,7,0.28269617706237427,0.4553990610328638,0.5774647887323944,0.6857394366197184,0.7619718309859155,0.5133802816901408,0.8485915492957747,0.627478437149581,0.7145907187022261,0.5357394366197183
Daichi Kamada,Japan,Attacking Midfield/Wing,Target Forward,0.1461725466296246,0.6912866288391093,0.5451140822094847,30,31,1,1,0.2676056338028169,0.34507042253521125,0.6009389671361502,0.573943661971831,0.5816901408450704,0.4323943661971831,0.5369718309859155,0.4970991400291187,0.7258070058745563,0.555407444668008
Vinícius José Paixão de Oliveira Júnior,Brazil,Central/Wide Midfield,Progressive Winger,0.2295944673639358,0.7746496237246099,0.545055156360674,12,12,3,2,0.4200201207243461,0.6631455399061034,0.8990610328638496,0.6373239436619719,0.5366197183098591,0.4253521126760563,0.07746478873239436,0.5953617665387889,0.7250040244602474,0.5434356136820925
Junya Ito,Japan,Fullback/Wingback,Attacking Wingback,0.0743770327173212,0.6185549997575157,0.5441779670401945,61,59,2,2,0.39839034205231394,0.6091549295774649,0.39436619718309857,0.6214788732394365,0.569718309859155,0.13098591549295774,0.3855633802816901,0.4813826765582627,0.6222317988531876,0.45792253521126763
Mehdi Taremi,Iran,Forward,Target Forward,0.2246748415800523,0.7678769995690156,0.5432021579889632,13,14,1,1,0.4270623742454728,0.6396713615023474,0.9131455399061034,0.7570422535211268,0.580281690140845,0.5119718309859155,0.5492957746478873,0.6516625658964796,0.749303154840806,0.5814889336016095
Jude Bellingham,England,Defensive Midfield,Ball-Winner,0.1068960116949414,0.649700218473766,0.5428042067788246,40,46,3,3,0.47032193158953717,0.5469483568075116,0.7605633802816901,0.8617957746478873,0.5704225352112676,0.6380281690140845,0.5422535211267605,0.6458261329802762,0.7927429092115346,0.6024396378269617
Aziz Eraltay Behich,Australia,Fullback/Wingback,Wide Creator,0.079340684029996,0.6190776198094265,0.5397369357794306,54,58,3,2,0.454728370221328,0.48122065727699526,0.3873239436619718,0.42517605633802813,0.7718309859154929,0.3218309859154929,0.6091549295774648,0.5195523992808222,0.6987470008344836,0.3886569416498994
Harry Kane,England,Forward,Target Forward,0.1827613657942355,0.7215399985165929,0.5387786327223574,25,22,1,1,0.3611670020120724,0.6737089201877935,0.9389671361502346,0.42429577464788726,0.3450704225352113,0.35,0.6795774647887324,0.5961858521096535,0.5714054416932806,0.47588028169014085
Alexis Mac Allister,Argentina,Central/Wide Midfield,Ball-Winner,0.1422612750611107,0.6784689029274684,0.5362076278663577,31,36,5,5,0.3732394366197183,0.5199530516431925,0.6830985915492956,0.7323943661971831,0.6190140845070423,0.776056338028169,0.3345070422535211,0.6080557615028044,0.7788422925448427,0.5921780684104628
Lucas Tolentino Coelho de Lima,Brazil,Defensive Midfield,Ball-Winner,0.0589384149700184,0.5885854340369276,0.5296470190669093,66,61,4,4,0.34708249496981897,0.6960093896713615,0.8051643192488264,0.6830985915492958,0.6197183098591549,0.7183098591549296,0.49295774647887325,0.6467932887646097,0.7766562341350975,0.5827716297786719
In-Beom Hwang,South Korea,Defensive Midfield,Box-to-Box Runner,0.0493726125228722,0.5766845252150802,0.527311912692208,68,65,4,4,0.6267605633802819,0.681924882629108,0.528169014084507,0.7464788732394366,0.5464788732394366,0.4288732394366198,0.4225352112676056,0.5845973046278214,0.8232925076069272,0.5434356136820926
Bartosz Bereszyński,Poland,Fullback/Wingback,Wide Creator,0.0607983555699639,0.5869653625248321,0.5261670069548682,65,62,3,3,0.2987927565392354,0.4565727699530517,0.1784037558685446,0.5264084507042254,0.7492957746478873,0.5626760563380282,0.7482394366197183,0.5549263193463554,0.6009893630076573,0.39207746478873245
Éder Gabriel Militão,Brazil,Fullback/Wingback,Box-to-Box Runner,0.0569958002807384,0.5820737953345207,0.5250779950537824,67,64,5,5,0.7293762575452716,0.4413145539906103,0.5328638497652581,0.7007042253521127,0.5309859154929577,0.4901408450704225,0.3890845070422535,0.5622937764696546,0.8130892533957,0.5323189134808853
Adrien Rabiot,France,Defensive Midfield,Ball-Winner,0.0914540564773498,0.6127999202133921,0.5213458637360423,50,60,5,6,0.39134808853118713,0.4389671361502348,0.7370892018779344,0.7429577464788732,0.7211267605633802,0.5901408450704226,0.841549295774648,0.665266868332556,0.762420536356273,0.6015845070422534
Timothy Weah,United States,Attacking Midfield/Wing,Progressive Winger,0.2230391197249684,0.7442319106739705,0.5211927909490022,15,20,2,2,0.20120724346076455,0.4812206572769953,0.7793427230046946,0.5140845070422535,0.4352112676056338,0.6633802816901408,0.18838028169014084,0.5235352771331158,0.6456340605665862,0.4835764587525151
Lionel Andrés Messi Cuccittini,Argentina,Attacking Midfield/Wing,Progressive Winger,0.3297362539418146,0.8502611639876809,0.5205249100458663,1,1,1,1,0.7233400402414487,0.8298122065727699,0.9964788732394366,0.6558098591549295,0.3528169014084507,0.6380281690140845,0.30809859154929575,0.7014992989186613,0.7190680297443096,0.6289486921529175
Granit Xhaka,Switzerland,Defensive Midfield,Ball-Winner,0.0345061240138071,0.5547470979296911,0.520240973915884,74,68,3,2,0.6649899396378268,0.6490610328638498,0.5422535211267605,0.48679577464788726,0.5788732394366198,0.6401408450704225,0.6654929577464789,0.6087984532685177,0.8921485632487454,0.4331237424547284
Nahuel Molina Lucero,Argentina,Fullback/Wingback,Box-to-Box Runner,0.0668486440124347,0.5835790659586861,0.5167304219462514,64,63,9,8,0.47686116700201203,0.40492957746478875,0.5446009389671361,0.5475352112676056,0.4788732394366198,0.36338028169014086,0.07746478873239436,0.44760664031006075,0.8562807768733159,0.5391599597585514
Frenkie de Jong,Netherlands,Defensive Midfield,Ball-Winner,0.0335826076848081,0.5499940800906793,0.5164114724058712,75,70,5,5,0.6066398390342052,0.5375586854460094,0.619718309859155,0.7658450704225352,0.6225352112676056,0.704225352112676,0.8767605633802817,0.6883956704609214,0.8859549641166963,0.5314637826961771
Josip Juranović,Croatia,Fullback/Wingback,Box-to-Box Runner,0.0463682970494971,0.5618065677492983,0.5154382706998012,70,67,6,6,0.7002012072434607,0.710093896713615,0.27230046948356806,0.3996478873239437,0.5732394366197184,0.4767605633802817,0.31514084507042256,0.528235898276284,0.6980060869360614,0.46219818913480887
Andrej Kramarić,Croatia,Attacking Midfield/Wing,Target Forward,0.1937284394202376,0.7027727459829537,0.5090443065627162,23,29,2,3,0.20975855130784707,0.3902582159624413,0.8732394366197184,0.4066901408450704,0.3774647887323944,0.7211267605633803,0.17077464788732394,0.5313479543103921,0.543499201140887,0.5169265593561368
Robert Lewandowski,Poland,Forward,Target Forward,0.2195275134456897,0.7274983947202189,0.5079708812745293,16,21,1,1,0.27967806841046283,0.5921361502347419,0.9612676056338029,0.6355633802816901,0.4943661971830986,0.39577464788732397,0.7007042253521127,0.6306432368321611,0.6157484330149094,0.5331740442655936
Boulaye Dia,Senegal,Attacking Midfield/Wing,Target Forward,0.165414202104261,0.6691457420155802,0.5037315399113191,28,38,2,2,0.0829979879275654,0.1960093896713615,0.8591549295774646,0.4612676056338028,0.31056338028169017,0.6809859154929578,0.403169014084507,0.5201138261089954,0.3746447317544853,0.5023893360160966
Ángel Fabián Di María Hernández,Argentina,Central/Wide Midfield,Progressive Winger,0.2879459741767765,0.7864456136202267,0.4984996394434502,5,8,3,2,0.5326961770623743,0.6789906103286385,0.84037558685446,0.5809859154929577,0.4633802816901408,0.45,0.07746478873239436,0.5801686853445369,0.7713424508528413,0.5973088531187122
Ricardo Iván Rodríguez Araya,Switzerland,Fullback/Wingback,Wide Creator,0.0457048131648913,0.5435185645193343,0.49781375135444306,72,72,2,3,0.6066398390342053,0.6455399061032864,0.1784037558685446,0.3926056338028169,0.4190140845070422,0.2154929577464789,0.9559859154929577,0.5732421762288467,0.5701640316098007,0.3604376257545272
Kylian Mbappé Lottin,France,Forward,Progressive Winger,0.3126841904685295,0.8097834834986142,0.49709929303008465,2,2,1,1,0.5482897384305836,0.6725352112676056,0.9929577464788731,0.403169014084507,0.2654929577464789,0.4887323943661972,0.2130281690140845,0.5909434721185929,0.5911363125664089,0.5331740442655936
Breel-Donald Embolo,Switzerland,Forward,Target Forward,0.1938289307371528,0.690398603055464,0.4965696723183112,22,32,1,1,0.1921529175050302,0.2992957746478873,0.9154929577464789,0.5,0.3436619718309859,0.7133802816901409,0.3415492957746479,0.5508187067161385,0.49227863717373077,0.5220573440643863
Enzo Fernandez,Argentina,Defensive Midfield,Ball-Winner,0.0208825196825233,0.5164013012065922,0.4955187815240689,78,74,10,9,0.670020120724346,0.6995305164319249,0.7347417840375586,0.6654929577464789,0.4746478873239436,0.6295774647887324,0.45070422535211263,0.6299830918886397,0.8714601523840602,0.5357394366197183
Noussair Mazraoui,Morocco,Fullback/Wingback,Wide Creator,0.0490465474609725,0.5437542606641869,0.4947077132032144,69,71,7,7,0.2917505030181086,0.36619718309859156,0.4741784037558685,0.5123239436619719,0.6887323943661972,0.652112676056338,0.2904929577464789,0.49931992976974093,0.7148042309883431,0.36898893360160967
Memphis Depay,Netherlands,Forward,Target Forward,0.2694081545182782,0.7570432581080424,0.4876351035897642,7,17,1,2,0.3118712273641851,0.5410798122065726,0.9178403755868545,0.6179577464788732,0.38732394366197187,0.2943661971830986,0.227112676056338,0.5402565890076415,0.5780592580443424,0.5921780684104627
Woo-Young Jung,South Korea,Defensive Midfield,Ball-Winner,0.0200325315635984,0.5039757022832757,0.4839431707196773,79,77,5,5,0.6036217303822938,0.607981220657277,0.3051643192488263,0.6197183098591549,0.6676056338028169,0.6035211267605634,0.8943661971830985,0.6438385299700161,0.7894337292809299,0.46390845070422526
Achraf Hakimi Mouh,Morocco,Fullback/Wingback,Box-to-Box Runner,0.0180373051224662,0.5009802093412403,0.4829429042187741,82,78,8,8,0.5734406438631791,0.6502347417840375,0.6431924882629109,0.7482394366197183,0.6,0.4485915492957746,0.5580985915492958,0.6117682375378437,0.8515236392261201,0.5502766599597585
Jules Koundé,France,Fullback/Wingback,Box-to-Box Runner,0.0383216500007178,0.5209061467172287,0.4825844967165109,73,73,7,7,0.5352112676056338,0.5117370892018779,0.4272300469483568,0.4295774647887324,0.5633802816901409,0.3577464788732394,0.7570422535211268,0.5306455740105274,0.8478854609741124,0.4245724346076458
Remo Freuler,Switzerland,Defensive Midfield,Ball-Winner,0.0287401516126213,0.5093754820534655,0.4806353304408442,76,76,4,4,0.2635814889336016,0.3004694835680751,0.7136150234741784,0.7640845070422535,0.5338028169014084,0.5197183098591549,0.6390845070422535,0.5743425808232541,0.6364051791068182,0.49127263581488934
Selim Amallah,Morocco,Central/Wide Midfield,Ball-Winner,0.0717870779898416,0.5510412052040323,0.4792541272141907,63,69,6,6,0.15191146881287726,0.3192488262910798,0.37089201877934275,0.8283450704225351,0.5929577464788733,0.5535211267605634,0.07746478873239436,0.5030388404717793,0.5363985593542813,0.5156438631790744
Youssef En-Nesyri,Morocco,Forward,Target Forward,0.1563075629724762,0.6353364033954059,0.4790288404229297,29,51,1,4,0.058853118712273646,0.17077464788732397,0.8474178403755869,0.6267605633802817,0.423943661971831,0.423943661971831,0.7711267605633803,0.5772669490421228,0.3794852445150638,0.4989688128772635
Carlos Henrique Casimiro,Brazil,Defensive Midfield,Ball-Winner,0.0137024995516598,0.4915859918561031,0.47788349230444327,86,80,6,6,0.5110663983903421,0.6390845070422535,0.9178403755868545,0.7059859154929577,0.6556338028169015,0.6070422535211268,0.5616197183098591,0.6732233931642838,0.8148881756758678,0.5502766599597586
Olivier Giroud,France,Forward,Target Forward,0.2376888115274914,0.7148519491488741,0.4771631376213826,11,27,2,4,0.1659959758551308,0.35093896713615025,0.9812206572769954,0.5123239436619719,0.3528169014084507,0.3823943661971831,0.8151408450704225,0.6027964281001802,0.4427145075187553,0.524622736418511
Harry Maguire,England,Center Back,Deep Playmaker,0.0461926905127779,0.5159829419197175,0.4697902514069396,71,75,4,4,0.846579476861167,0.5575117370892019,0.5657276995305165,0.27816901408450706,0.6183098591549296,0.30070422535211266,0.9507042253521127,0.6528849638287888,0.6322925322124395,0.31126760563380285
Wataru Endo,Japan,Defensive Midfield,Ball-Winner,0.0148270904672438,0.4837608016430652,0.4689337111758214,83,82,3,3,0.448692152917505,0.7053990610328639,0.5446009389671361,0.9401408450704225,0.5971830985915493,0.5,0.6830985915492958,0.657695259507703,0.7379953308045868,0.521202213279678
Julián Álvarez,Argentina,Forward,Target Forward,0.2904569708819181,0.7583816789735209,0.46792470809160286,4,16,2,3,0.22635814889336014,0.34976525821596244,0.9225352112676056,0.8019366197183099,0.5232394366197183,0.30704225352112674,0.301056338028169,0.575927909694034,0.5039099890763565,0.6404929577464787
Declan Rice,England,Defensive Midfield,Ball-Winner,0.0276445221539683,0.4950629338962213,0.467418411742253,77,79,5,5,0.5291750503018109,0.3661971830985915,0.1784037558685446,0.5651408450704225,0.569718309859155,0.8154929577464788,0.5264084507042253,0.5508284620818084,0.6109376013993009,0.4639084507042254
Grzegorz Krychowiak,Poland,Defensive Midfield,Ball-Winner,0.0197228120703098,0.4856346609604967,0.4659118488901869,80,81,4,4,0.35513078470824955,0.47652582159624407,0.3051643192488263,0.7922535211267606,0.7943661971830986,0.5225352112676056,0.7605633802816902,0.6181036309120402,0.6444558106773755,0.44595070422535216
Jackson Irvine,Australia,Forward,Ball-Winner,0.1088174003093569,0.5734010799324589,0.46458367962310204,39,66,2,3,0.2339034205231388,0.39906103286384975,0.5046948356807511,0.6971830985915493,0.5485915492957746,0.6309859154929577,0.801056338028169,0.5838490319285097,0.6966270168937303,0.489989939637827
Sergio Busquets i Burgos,Spain,Defensive Midfield,Ball-Winner,0.0031555493201,0.4603134384063454,0.45715788908624544,99,85,5,3,0.5090543259557344,0.44483568075117375,0.5915492957746479,0.5950704225352113,0.608450704225352,0.7915492957746478,0.795774647887324,0.6367013369541539,0.8187738212069067,0.5271881287726358
Thomas Teye Partey,Ghana,Defensive Midfield,Ball-Winner,-0.0002103741097785,0.4533498589226199,0.4535602330323984,103,90,2,1,0.6146881287726359,0.6502347417840375,0.465962441314554,0.6329225352112676,0.5345070422535211,0.5330985915492957,0.8503521126760564,0.6269790477039341,0.8853010926032873,0.43910965794768614
Tyler Adams,United States,Defensive Midfield,Ball-Winner,0.0081512069242545,0.4596069417522034,0.4514557348279489,93,87,6,6,0.5643863179074448,0.5903755868544601,0.27582159624413144,0.8371478873239436,0.6732394366197183,0.7950704225352113,0.6320422535211268,0.6572084196361863,0.704581765233961,0.5541247484909457
Richarlison de Andrade,Brazil,Forward,Target Forward,0.298394853505586,0.7490460536190566,0.45065120011347065,3,19,1,3,0.14788732394366197,0.48004694835680745,0.943661971830986,0.880281690140845,0.5169014084507042,0.6126760563380281,0.3028169014084507,0.643035067891447,0.5554595312945946,0.6251006036217304
Aurélien Djani Tchouaméni,France,Defensive Midfield,Ball-Winner,-0.000571436181314,0.44934115822383935,0.44991259440515335,104,93,10,8,0.5945674044265594,0.6373239436619719,0.7065727699530516,0.6302816901408451,0.5422535211267606,0.8359154929577464,0.7077464788732395,0.6735026395780018,0.8576250212886745,0.4818661971830986
Marcelo Brozović,Croatia,Defensive Midfield,Ball-Winner,0.0044941688602138,0.4543657188569117,0.4498715499966979,96,88,7,7,0.63682092555332,0.5046948356807511,0.7300469483568074,0.8098591549295775,0.6084507042253521,0.5654929577464788,0.6883802816901409,0.6592094281307649,0.8420741214180963,0.5297535211267606
Kléper Laveran Lima Ferreira,Portugal,Center Back,Sweeper CB,0.0182315750098468,0.46405514732242803,0.44582357231258124,81,84,7,7,0.6428571428571429,0.4025821596244132,0.636150234741784,0.3345070422535211,0.426056338028169,0.4422535211267606,0.8028169014084507,0.5582542018859179,0.7562307371158321,0.30143360160965793
