layout,target,model,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,target_rank
Context + History,box_entry,Soft Vote: LR + XGB,9685,0.31595250387196694,0.4957507846343227,0.1672467020477581,0.7786423480083857,0.6381989523733886,0.025835028418150132,13.0
Player-Aware,box_entry,Soft Vote: LR + XGB,9685,0.31595250387196694,0.5049684304374188,0.1708966979877111,0.7690060919965471,0.6258249830631157,0.031007025818990314,14.0
Context + History,box_entry,Logistic Regression,9685,0.31595250387196694,0.5201241180293111,0.17580436035597158,0.7577842890615366,0.610094999529073,0.044032671135636796,15.0
Player-Aware,box_entry,Logistic Regression,9685,0.31595250387196694,0.5601413287388156,0.18880194607795756,0.7296015291651252,0.5774939972676796,0.06987597375252058,16.0
Context + History,shot,XGBoost,9685,0.1246257098606092,0.3341011703014374,0.10009248554706573,0.727163809913587,0.28241105335245215,0.008416349533512594,1.0
Context + History,shot,Soft Vote: Boosting,9685,0.1246257098606092,0.33449015258912335,0.10008234735425352,0.7259809638397388,0.281164061958491,0.005150734005593926,2.0
Context + History,shot,Soft Vote: All,9685,0.1246257098606092,0.33480732595255447,0.10011881686176416,0.7273613092456463,0.2783481403781656,0.0034544567400917377,3.0
Player-Aware,shot,Soft Vote: Boosting,9685,0.1246257098606092,0.3349649501067363,0.10017463823039756,0.7281053764966608,0.27503231247258564,0.004926289742965409,4.0
Player-Aware,shot,XGBoost,9685,0.1246257098606092,0.3351908326148987,0.10042531043291092,0.727264367465635,0.27237526727624434,0.006907546507539853,5.0
Context + History,shot,Gradient Boosting,9685,0.1246257098606092,0.33633519074482654,0.1003879960816619,0.7250704244896826,0.27267450929486536,0.008352278168461898,6.0
Player-Aware,shot,Soft Vote: All,9685,0.1246257098606092,0.3372497851424717,0.10070855094708721,0.7243652023571706,0.2718126630648722,0.006509562969534731,7.0
Context + History,shot,Soft Vote: LR + XGB,9685,0.1246257098606092,0.3383486169413904,0.10109119988048972,0.725306866663813,0.26111686159679537,0.005979566804865119,8.0
Player-Aware,shot,Gradient Boosting,9685,0.1246257098606092,0.33853958956288566,0.10085528921170739,0.7223611851367143,0.26612533641442415,0.006363352164148644,9.0
Player-Aware,shot,Histogram Gradient Boosting,9685,0.1246257098606092,0.3387077662458522,0.10103604323197765,0.7227961038785898,0.2708799378806391,0.013957911495947044,10.0
Player-Aware,shot,Random Forest,9685,0.1246257098606092,0.3401635618429394,0.1013942422238495,0.716281020148059,0.26706308094432973,0.017128526228867937,11.0
Context + History,shot,Histogram Gradient Boosting,9685,0.1246257098606092,0.3401912076395949,0.10165262809445332,0.7175524037750224,0.2665793978276612,0.01749592024151476,12.0
Context + History,shot,Random Forest,9685,0.1246257098606092,0.341479916828085,0.10145015270188,0.7143831307230586,0.27256512330319305,0.020665444711907135,13.0
Player-Aware,shot,Soft Vote: LR + XGB,9685,0.1246257098606092,0.3486055083036835,0.10429658701515913,0.7043484838090615,0.24047232072564298,0.01825395486583383,14.0
Context + History,shot,Logistic Regression,9685,0.1246257098606092,0.3507912775048026,0.10446797367494152,0.7002619284808109,0.23009754406464075,0.012554805738886163,15.0
Player-Aware,shot,Logistic Regression,9685,0.1246257098606092,0.3848603462464238,0.11602296826449025,0.6581882187202004,0.1975357966342164,0.0513984478631647,16.0
Player-Aware,transition_box_15,Gradient Boosting,9685,0.026742385131646878,0.12332849673500679,0.02608765601335958,0.5723432352967681,0.03336954436202315,0.0002841364180307336,1.0
Player-Aware,transition_box_15,Soft Vote: All,9685,0.026742385131646878,0.12411619232352335,0.026203399152176086,0.5830550018965042,0.03465419483067836,0.002862471524860628,2.0
Context + History,transition_box_15,Gradient Boosting,9685,0.026742385131646878,0.12421766915202458,0.026133561180936068,0.5548953973524311,0.03264043025546437,0.0014720902848150482,3.0
Player-Aware,transition_box_15,Soft Vote: Boosting,9685,0.026742385131646878,0.12430115133334319,0.026058872059514137,0.5673211858762464,0.03461183994284034,0.005291390463963386,4.0
