layout,target,model,architecture,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,recall_at_5pct,lift_at_5pct,recall_at_10pct,lift_at_10pct,recall_at_20pct,lift_at_20pct,pr_lift_over_prevalence,pr_rank
Rest-Defense Player-Aware,transition_box_15,Gradient Boosting: Weighted,Direct,9685,0.026742385131646878,0.18405547301237898,0.03741353208909348,0.5771709237654495,0.03463836811533076,0.09549823478415553,0.07335907335907337,1.4649126298610833,0.15444015444015444,1.5436046395798717,0.277992277992278,1.3899613899613898,1.295260985316519,11.0
Rest-Defense Player-Aware,transition_box_15,Histogram Gradient Boosting,Hierarchical: final third × box,9685,0.026742385131646878,0.13148138429576933,0.026205977846232003,0.5540049005994264,0.03450846527348109,0.00811194496061567,0.08108108108108109,1.6191139593201447,0.1583011583011583,1.5821947555693685,0.26640926640926643,1.3320463320463318,1.2904034215199394,12.0
Rest-Defense Player-Aware,transition_box_15,XGBoost: Weighted,Direct,9685,0.026742385131646878,0.16327830959071923,0.03382756013430928,0.558121912036616,0.03444956038904151,0.06649283195543355,0.07722007722007722,1.542013294590614,0.14671814671814673,1.466424407600878,0.277992277992278,1.3899613899613898,1.2882007427330773,13.0
Rest-Defense Player-Aware,transition_box_15,Soft Vote: Weighted,Direct,9685,0.026742385131646878,0.20849419967065355,0.048932068459569884,0.5652618609334077,0.03436862331525492,0.11108508940582841,0.07335907335907337,1.4649126298610833,0.14285714285714285,1.4278342916113813,0.24324324324324326,1.216216216216216,1.2851741961708258,14.0
Enhanced History,transition_box_15,XGBoost: Weighted,Direct,9685,0.026742385131646878,0.17660797258081362,0.03710814270360639,0.5566186355492531,0.034192551367012686,0.08141539013669545,0.08494208494208494,1.6962146240496754,0.14671814671814673,1.466424407600878,0.25096525096525096,1.2548262548262548,1.2785901930097214,15.0
Enhanced History,transition_box_15,Gradient Boosting: Weighted,Direct,9685,0.026742385131646878,0.1903258434904346,0.039092513164763955,0.5581536569760631,0.03414291811695825,0.10107323771738926,0.08108108108108109,1.6191139593201447,0.14671814671814673,1.466424407600878,0.2548262548262548,1.274131274131274,1.2767342160723576,16.0
Rest-Defense Player-Aware,transition_box_15,XGBoost,Hierarchical: final third × box,9685,0.026742385131646878,0.1261346288471129,0.0261222949477593,0.5646230708293088,0.03400599163243692,0.003467783343136936,0.0888030888030888,1.773315288779206,0.1583011583011583,1.5821947555693685,0.26640926640926643,1.3320463320463318,1.2716140114291565,17.0
Rest-Defense Player-Aware,transition_box_15,Soft Vote: Unweighted,Direct,9685,0.026742385131646878,0.12617484297949838,0.026446373352053985,0.5660065357710169,0.03395663321899218,0.003554609736392842,0.05405405405405406,1.07940930621343,0.13513513513513514,1.3506540596323877,0.2625482625482625,1.3127413127413128,1.269768311683163,18.0
Rest-Defense Player-Aware,transition_box_15,XGBoost: Weighted,Hierarchical: final third × box,9685,0.026742385131646878,0.14567115001190137,0.029496057298098694,0.5560218306876485,0.03384768003256102,0.04397226587387098,0.07335907335907337,1.4649126298610833,0.1274131274131274,1.2734738276533941,0.28185328185328185,1.4092664092664093,1.2656941355805154,19.0
Rest-Defense Player-Aware,transition_box_15,Logistic Regression,Direct,9685,0.026742385131646878,0.16024128465840906,0.03487551598310493,0.5602899889978183,0.03370982423152515,0.032389907381524675,0.06563706563706563,1.310711300402022,0.13513513513513514,1.3506540596323877,0.2625482625482625,1.3127413127413128,1.260539180240622,20.0
Enhanced History,transition_box_15,Logistic Regression: Weighted,Hierarchical: final third × box,9685,0.026742385131646878,0.1553549748474433,0.031699953873563454,0.5604976623436203,0.033641400291867594,0.05846332678189747,0.07335907335907337,1.4649126298610833,0.14285714285714285,1.4278342916113813,0.2702702702702703,1.3513513513513513,1.2579805475935817,21.0
Enhanced History,transition_box_15,Soft Vote: Unweighted,Direct,9685,0.026742385131646878,0.1247860529766968,0.026111905069492833,0.5526765284881134,0.03359587382615576,0.00139922792639403,0.08494208494208494,1.6962146240496754,0.14671814671814673,1.466424407600878,0.26640926640926643,1.3320463320463318,1.2562781390205349,22.0
Enhanced History,transition_box_15,XGBoost,Direct,9685,0.026742385131646878,0.1268605630742692,0.026189167858709804,0.5411361165657793,0.03356718373970105,0.00332197473431559,0.0694980694980695,1.3878119651315526,0.13513513513513514,1.3506540596323877,0.2702702702702703,1.3513513513513513,1.2552053070231841,23.0
Enhanced History,transition_box_15,Soft Vote: Unweighted,Hierarchical: final third × box,9685,0.026742385131646878,0.12519660160730914,0.02611346548650295,0.5470488675453665,0.03355823783753938,0.0017513663460464739,0.08494208494208494,1.6962146240496754,0.16216216216216217,1.6207848715588653,0.2471042471042471,1.2355212355212355,1.2548707855465981,24.0
Rest-Defense Player-Aware,transition_box_15,Random Forest,Hierarchical: final third × box,9685,0.026742385131646878,0.12539386365139557,0.026207773778953468,0.5677461584527148,0.03354579880466291,0.007195307481150811,0.07722007722007722,1.542013294590614,0.1583011583011583,1.5821947555693685,0.2702702702702703,1.3513513513513513,1.2544056425604642,25.0
Enhanced History,transition_box_15,Random Forest,Hierarchical: final third × box,9685,0.026742385131646878,0.12647854357055316,0.02619240523398217,0.5476665626251878,0.0334721220311229,0.002490538350597314,0.09266409266409266,1.8504159535087368,0.15444015444015444,1.5436046395798717,0.28185328185328185,1.4092664092664093,1.2516505863761596,26.0
