layout,timing,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Context + Both Styles,Retrospective,shot,Logistic Regression,3,13,1975,0.13063291139240507,0.3371482388111961,0.10223443603935614,0.7650580379515379,0.3024457845931463,0.022370916660060986
Context + Both Styles,Retrospective,shot,Logistic Regression,4,13,1934,0.12202688728024819,0.3180227964871479,0.09633711441997538,0.781960581741231,0.29796969165341863,0.02617083897114691
Context + Both Styles,Retrospective,box_entry,Logistic Regression,0,12,1865,0.33351206434316355,0.48286115929057305,0.16040699372531625,0.8141664058276187,0.7012535363667826,0.033964374480280356
Context + Both Styles,Retrospective,box_entry,Logistic Regression,1,13,1966,0.3158697863682604,0.4872231170262788,0.16285999941505505,0.7962334404875215,0.6653919608682102,0.024293749048392876
Context + Both Styles,Retrospective,box_entry,Logistic Regression,2,13,1945,0.3038560411311054,0.466516941700292,0.1545508241022153,0.8108749659466093,0.6756115435199669,0.023132467799042034
Context + Both Styles,Retrospective,box_entry,Logistic Regression,3,13,1975,0.30278481012658226,0.4789141217360548,0.15961107134890926,0.7944176060118089,0.6542938303929967,0.0337472080797164
Context + Both Styles,Retrospective,box_entry,Logistic Regression,4,13,1934,0.3247156153050672,0.4765554761467286,0.15902948709569031,0.8084532681109236,0.6953139590464784,0.02174744096500681
Tactical + Shape,Retrospective,shot,Logistic Regression,0,12,1865,0.13083109919571045,0.2707525632727141,0.08663196609296377,0.8789024180580699,0.4782468862093703,0.02216954933844261
Tactical + Shape,Retrospective,shot,Random Forest,0,12,1865,0.13083109919571045,0.2652724620141516,0.08471855311236674,0.8832030420404324,0.4837862490948914,0.01907815911691208
Tactical + Shape,Retrospective,shot,Gradient Boosting,0,12,1865,0.13083109919571045,0.2683328307870318,0.08451521272443324,0.8849298651914929,0.49111346431545283,0.02228179580822529
Tactical + Shape,Retrospective,shot,Histogram Gradient Boosting,0,12,1865,0.13083109919571045,0.26525132039474825,0.08497716020127102,0.884214358673557,0.4880621300682445,0.017514534187234504
Tactical + Shape,Retrospective,shot,XGBoost,0,12,1865,0.13083109919571045,0.26089876890182495,0.08367642015218735,0.8869196306671656,0.5052557493633865,0.012124794989265003
Tactical + Shape,Retrospective,shot,Logistic Regression,1,13,1966,0.12054933875890132,0.2477488862775681,0.07788837609618703,0.8873864310240059,0.5188085488520425,0.014067922898034588
Tactical + Shape,Retrospective,shot,Random Forest,1,13,1966,0.12054933875890132,0.25196621202820285,0.07810067560150306,0.8808511053680941,0.5038797916472327,0.009641450532952525
Tactical + Shape,Retrospective,shot,Gradient Boosting,1,13,1966,0.12054933875890132,0.252983396487964,0.07738004688064795,0.8826691851342086,0.5264359671397071,0.013279261239578547
Tactical + Shape,Retrospective,shot,Histogram Gradient Boosting,1,13,1966,0.12054933875890132,0.24321211790266004,0.07620019627576488,0.893062744495123,0.5251598372123791,0.01509039444837161
Tactical + Shape,Retrospective,shot,XGBoost,1,13,1966,0.12054933875890132,0.2438395619392395,0.0763569176197052,0.891334958623433,0.5225010597720674,0.01216531316782912
Tactical + Shape,Retrospective,shot,Logistic Regression,2,13,1945,0.119280205655527,0.24146630709573977,0.07392607705143014,0.8884518992692796,0.5553763867013897,0.0060206099977186105
Tactical + Shape,Retrospective,shot,Random Forest,2,13,1945,0.119280205655527,0.24851527283621944,0.07581400308966099,0.8810088169575458,0.5378890287998912,0.015155382827004866
Tactical + Shape,Retrospective,shot,Gradient Boosting,2,13,1945,0.119280205655527,0.24923234958714785,0.07641936623619296,0.8844107937274794,0.53484722472377,0.01909663893216049
Tactical + Shape,Retrospective,shot,Histogram Gradient Boosting,2,13,1945,0.119280205655527,0.24719545818362662,0.07645088493036993,0.8869220162248124,0.5173612435698188,0.013571461741256856
Tactical + Shape,Retrospective,shot,XGBoost,2,13,1945,0.119280205655527,0.23985964059829712,0.07409500330686569,0.8925596855687743,0.5435805652557767,0.013402134428102433
Tactical + Shape,Retrospective,shot,Logistic Regression,3,13,1975,0.13063291139240507,0.25907539946842273,0.08023268534104148,0.8850573155810794,0.5643923274101569,0.01779937101650737
Tactical + Shape,Retrospective,shot,Random Forest,3,13,1975,0.13063291139240507,0.25314391751730814,0.07903721143134133,0.8935316240242355,0.56691393716697,0.013888206407244592
Tactical + Shape,Retrospective,shot,Gradient Boosting,3,13,1975,0.13063291139240507,0.26173060047256175,0.0813021286099548,0.8900258698920508,0.551843709215628,0.023790257585622927
Tactical + Shape,Retrospective,shot,Histogram Gradient Boosting,3,13,1975,0.13063291139240507,0.25474215385557974,0.07918050341148349,0.895188561263787,0.5530345178847202,0.023336477483100786
Tactical + Shape,Retrospective,shot,XGBoost,3,13,1975,0.13063291139240507,0.24971269071102142,0.07778964936733246,0.8977620060227638,0.5754923920646765,0.015778202611622928
Tactical + Shape,Retrospective,shot,Logistic Regression,4,13,1934,0.12202688728024819,0.26051164489525674,0.08253630879831801,0.8765746341658183,0.47733325119356096,0.02455396826739417
Tactical + Shape,Retrospective,shot,Random Forest,4,13,1934,0.12202688728024819,0.25410284027268826,0.08020103824767696,0.8803452716056775,0.4923589710491783,0.015272685195652844
Tactical + Shape,Retrospective,shot,Gradient Boosting,4,13,1934,0.12202688728024819,0.25477983076207655,0.0791694020976088,0.8868733904294185,0.513522503854771,0.026901342717425305
Tactical + Shape,Retrospective,shot,Histogram Gradient Boosting,4,13,1934,0.12202688728024819,0.25017942567133955,0.07993116549911826,0.8895535126070551,0.49279188843935295,0.02096534659268685
Tactical + Shape,Retrospective,shot,XGBoost,4,13,1934,0.12202688728024819,0.24902908504009247,0.07932742685079575,0.8905741550378311,0.4960187969566883,0.014286306822497196
Tactical + Shape,Retrospective,shot,Soft Vote: All,0,12,1865,0.13083109919571045,0.26073469424032514,0.08309666995456938,0.8894226393341492,0.49934243156986,0.01416806679592005
Tactical + Shape,Retrospective,shot,Soft Vote: All,1,13,1966,0.12054933875890132,0.2424347379800725,0.07544442643772459,0.8942951341352408,0.5383293890908875,0.014310000073595723
Tactical + Shape,Retrospective,shot,Soft Vote: All,2,13,1945,0.119280205655527,0.23935272608307953,0.07376915541894194,0.8938316524749884,0.5555257092313882,0.009805396454119058
Tactical + Shape,Retrospective,shot,Soft Vote: All,3,13,1975,0.13063291139240507,0.24959247694169293,0.07780335798885424,0.8989313432027198,0.5836559025723949,0.018566314946795517
Tactical + Shape,Retrospective,shot,Soft Vote: All,4,13,1934,0.12202688728024819,0.24798246850953745,0.07845940771601301,0.8919641252919686,0.5086671609515774,0.02090312585425253
Tactical + Shape,Retrospective,shot,Soft Vote: Boosting,0,12,1865,0.13083109919571045,0.2616714953984946,0.08343413003147818,0.8881913613333198,0.49910283887078755,0.017279245796940648
Tactical + Shape,Retrospective,shot,Soft Vote: Boosting,1,13,1966,0.12054933875890132,0.24352115430065313,0.07575114977005934,0.8928016243139494,0.5341438007663462,0.01364948834594097
Tactical + Shape,Retrospective,shot,Soft Vote: Boosting,2,13,1945,0.119280205655527,0.24197623103111032,0.07482288069879589,0.8912524910924573,0.5404095604775312,0.007534533717860561
Tactical + Shape,Retrospective,shot,Soft Vote: Boosting,3,13,1975,0.13063291139240507,0.25123967755622917,0.0784238762103974,0.8982292894132093,0.5703796846079997,0.018390643299751912
Tactical + Shape,Retrospective,shot,Soft Vote: Boosting,4,13,1934,0.12202688728024819,0.24835799744777626,0.0785555397781483,0.8923733804475854,0.507820555669592,0.018712105465200638
