player_id,player_name,team,global_rank_v3,tournament_impact_rank_outfield_v4,uncoupled_raw_rescaled_rank,released_minus_uncoupled_rank
29201,Nahuel Molina Lucero,Argentina,78.0,52,149,-97
29377,Brennan Johnson,Wales,252.0,426,283,143
29560,Julián Álvarez,Argentina,8.0,6,14,-8
29595,Ko Itakura,Japan,332.0,186,259,-73
29758,Sam Adekugbe,Canada,385.0,428,302,126
29966,Ui-Jo Hwang,South Korea,235.0,397,263,134
29976,Gabriel Teodoro Martinelli Silva,Brazil,82.0,194,119,75
30016,Martin Hongla Yma II,Cameroon,431.0,446,435,11
30111,Felix Eduardo Torres Caicedo,Ecuador,336.0,193,389,-196
30401,Ruben Vargas,Switzerland,97.0,135,136,-1
30486,Pedro González López,Spain,122.0,81,164,-83
30500,Kevin Nahin Álvarez Campos,Mexico,493.0,492,460,32
30519,Mohamed Salisu,Ghana,263.0,331,528,-197
30628,Daizen Maeda,Japan,186.0,330,384,-54
30681,Ali Abdi,Tunisia,342.0,481,530,-49
30714,Jude Bellingham,England,52.0,33,83,-50
30756,Anssumane Fati,Spain,234.0,388,248,140
31029,Salis Abdul Samed,Ghana,426.0,309,308,1
31090,Takefusa Kubo,Japan,443.0,538,484,54
31152,Gonzalo Jordy Plata Jiménez,Ecuador,144.0,145,202,-57
31295,Yahia Attiyat allah,Morocco,156.0,178,436,-258
31684,Atiba Hutchinson,Canada,434.0,274,492,-218
31751,Pathé Ismaël Ciss,Senegal,526.0,493,521,-28
31955,Jakub Kamiński,Poland,190.0,297,213,84
32450,Montassar Omar Talbi,Tunisia,490.0,329,534,-205
32478,Darwin Gabriel Núñez Ribeiro,Uruguay,126.0,236,183,53
32915,Ismail Jakobs,Senegal,395.0,439,533,-94
33018,Joško Gvardiol,Croatia,203.0,12,154,-142
33477,Riley McGree,Australia,249.0,249,439,-190
33488,Keanu Baccus,Australia,405.0,336,146,190
33492,Mitchell Thomas Duke,Australia,141.0,202,234,-32
33495,Kye Rowles,Australia,244.0,173,3,170
33572,Nathaniel Atkinson,Australia,504.0,474,400,74
33602,Tariq Lamptey,Ghana,423.0,551,312,239
34339,Giovanni Reyna,United States,322.0,348,291,57
34396,Michael Steveen Estrada Martínez,Ecuador,183.0,190,163,27
34639,Vitor Machado Ferreira,Portugal,390.0,437,401,36
34794,Neco Williams,Wales,298.0,425,387,38
35592,Anis Ben Slimane,Tunisia,325.0,368,397,-29
