player_id,player_name,team,global_rank_v3,tournament_impact_rank_outfield_v4,uncoupled_raw_rescaled_rank,released_minus_uncoupled_rank
35658,Kamaldeen Sulemana,Ghana,269.0,441,317,124
36148,José Adoni Cifuentes Charcopa,Ecuador,457.0,454,365,89
36288,Facundo Pellistri Rebollo,Uruguay,230.0,401,274,127
37122,Yuki Soma,Japan,368.0,378,330,48
37148,Josip Šutalo,Croatia,545.0,478,416,62
37208,Ao Tanaka,Japan,150.0,266,303,-37
37209,Miki Yamane,Japan,486.0,473,419,54
37211,Kaoru Mitoma,Japan,201.0,354,382,-28
37215,Shogo Taniguchi,Japan,345.0,304,304,0
37221,Hidemasa Morita,Japan,284.0,146,341,-195
37726,Moisés Isaac Caicedo Corozo,Ecuador,192.0,136,329,-193
37737,Angelo Smit Preciado Quiñónez,Ecuador,320.0,278,498,-220
37945,Alan Steven Franco Palma,Ecuador,523.0,523,445,78
38004,Piero Martín Hincapié Reyna,Ecuador,548.0,299,547,-248
38285,Ayase Ueda,Japan,487.0,465,375,90
38718,Enzo Fernandez,Argentina,140.0,41,169,-128
38792,Yunus Dimoara Musah,United States,175.0,96,239,-143
38803,Gonçalo Matias Ramos,Portugal,21.0,70,39,31
39161,Alejandro Balde Martínez,Spain,143.0,232,84,148
39565,Jamal Musiala,Germany,6.0,9,6,3
40211,Jeremy Leonel Sarmiento Morante,Ecuador,333.0,400,277,123
40538,Jin-Su Kim,South Korea,96.0,208,247,-39
40542,Gue-Sung Cho,South Korea,62.0,118,108,10
40558,Jun-Ho Son,South Korea,512.0,482,395,87
40564,Kyung-Won Kwon,South Korea,516.0,486,423,63
40672,Moon-Hwan Kim,South Korea,129.0,142,191,-49
40784,Akram Hassan Afif,Qatar,237.0,260,199,61
40874,Matheus Luiz Nunes,Portugal,297.0,370,361,9
41711,Sang-Ho Na,South Korea,281.0,418,336,82
43565,Min Jae Kim,South Korea,239.0,158,85,73
44166,Jakub Piotr Kiwior,Poland,360.0,328,495,-167
44225,Osman Bukari,Ghana,306.0,464,292,172
44703,Alistair Johnston,Canada,85.0,75,107,-32
44955,Aïssa Bilal Laïdouni,Tunisia,275.0,253,509,-256
45047,Alidu Seidu,Ghana,515.0,520,476,44
46258,Azzedine Ounahi,Morocco,121.0,32,270,-238
48347,Amadou Onana,Belgium,352.0,382,346,36
49337,Josip Stanišić,Croatia,429.0,431,358,73
50436,Fabian Rieder,Switzerland,375.0,450,449,1
50498,Pape Matar Sarr,Senegal,439.0,414,405,9
50502,Nicola Zalewski,Poland,502.0,549,464,85
51094,Abdulelah Al Amri,Saudi Arabia,365.0,312,158,154
51096,Ali Al Hassan,Saudi Arabia,491.0,532,487,45
51099,Firas Tariq Nasser Al Albirakan,Saudi Arabia,69.0,98,55,43
51103,Abdullah Mohammed Madu,Saudi Arabia,531.0,547,471,76
51469,Saleh Khalid Al Shehri,Saudi Arabia,146.0,215,204,11
51470,Riyadh Sharahili,Saudi Arabia,521.0,533,486,47
51546,Hassan Mohammed Al-Tambakti,Saudi Arabia,292.0,128,15,113
51632,Sami Khalil Al Naji,Saudi Arabia,464.0,471,402,69
51705,Abdulrahman Al-Obood,Saudi Arabia,337.0,451,368,83
51710,Saud Abdullah Abdul Hamid,Saudi Arabia,278.0,262,454,-192
51969,Jackson Gabriel Porozo Vernaza,Ecuador,305.0,318,100,218
54144,Nawaf Shaker Al Abid,Saudi Arabia,205.0,333,228,105
56755,Abdulelah Saad Hameed Al-Malki,Saudi Arabia,266.0,213,29,184
57620,Sultan Abdullah Salim Al Ghannam,Saudi Arabia,221.0,413,299,114
59493,Abderrazak Hamdallah,Morocco,158.0,313,197,116
67700,Badr Banoun,Morocco,482.0,506,225,281
68574,Nicholas Williams Arthuer,Spain,310.0,384,290,94
74588,Christopher Wooh,Cameroon,348.0,337,110,227
80484,Iliman Ndiaye,Senegal,227.0,360,255,105
88123,Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,232.0,359,251,108
95272,Hiroki Ito,Japan,476.0,430,388,42
102816,Mohamed Ali Ben Romdhane,Tunisia,408.0,421,390,31
105944,Wajdi Kechrida,Tunisia,343.0,371,231,140
108340,Brandon Aguilera Zamora,Costa Rica,544.0,553,513,40
124161,Mehdi Torabi,Iran,295.0,472,371,101
124167,Ahmad Nourollahi,Iran,495.0,347,512,-165
124175,Mohammad Hossein Kanani Zadegan,Iran,540.0,518,456,62
124488,Hassan Khalid Al Heidos,Qatar,273.0,268,101,167
124492,Karim Boudiaf,Qatar,382.0,315,127,188
124493,Boualem Khoukhi,Qatar,293.0,349,546,-197
124494,Abdelkarim Hassan Al Haj Fadlalla,Qatar,299.0,290,227,63
124495,Almoez Ali Zainalabiddin Abdulla,Qatar,159.0,292,222,70
124500,Assim Omer Al Haj Madibo,Qatar,542.0,455,526,-71
124503,Bassam Hisham Al Rawi,Qatar,522.0,530,465,65
124506,Pedro Miguel Correia,Qatar,225.0,303,138,165
124514,Abdulaziz Hatem Mohammed Abdullah,Qatar,472.0,490,451,39
124899,Ismaeel Mohammad Mohammad,Qatar,139.0,235,65,170
124900,Homam Alamin Ahmed,Qatar,302.0,415,321,94
124901,Mohammed Muntari,Qatar,344.0,516,364,152
125818,Ali Karimi,Iran,353.0,432,370,62
130185,Keysher Fuller Spence,Costa Rica,134.0,166,5,161
132271,Carlos Manuel Martínez Castro,Costa Rica,537.0,527,505,22
132296,Anthony Daniel Contreras Enríquez,Costa Rica,427.0,529,425,104
132497,Gerson Torres Barrantes,Costa Rica,518.0,519,442,77
132728,Jewison Bennette,Costa Rica,437.0,550,450,100
132756,Youstin Delfin Salas Gómez,Costa Rica,509.0,541,431,110
133229,Ismael Koné,Canada,499.0,362,433,-71
133353,Pablo Martín Páez Gavira,Spain,171.0,121,205,-84
139016,Achraf Dari,Morocco,303.0,254,184,70
143854,António João Pereira Albuquerque Tavares Silva,Portugal,541.0,498,502,-4
149714,Abdessamad Ezzalzouli,Morocco,383.0,522,472,50
156734,Bilal El Khannous,Morocco,398.0,393,111,282
227697,Garang Kuol,Australia,288.0,461,306,155
296254,Walid Cheddira,Morocco,242.0,463,296,167
