match_id,event_index,event_id,period,minute,competition_stage,knockout,attacking_team,defending_team,pre_shot_score_diff_defending,is_regular_penalty,shot_outcome,goal,goal_probability_v3,leverage_v4,channel,kick_number,kicking_team,scored,goalkeeper_player_id,goalkeeper_player_name,goalkeeper_event_type,goalkeeper_credited_save,pre_kick_win_probability_defending,post_kick_win_probability_defending,defending_wpa,goalkeeper_wpa,attribution_rule
3857258,2515.0,68934afc-100d-4812-b7fe-c67fda03630e,2.0,61.96666666666667,Group Stage,False,Brazil,Serbia,0.0,False,Goal,1.0,0.8500330434443033,0.302393235385479,ordinary_or_penalty,,,,,,,,,,,,
3857258,2790.0,f32f451c-8cf3-466b-ae81-a17f6111ab98,2.0,72.9,Group Stage,False,Brazil,Serbia,-1.0,False,Goal,1.0,0.21249593738602685,0.06601987485779873,ordinary_or_penalty,,,,,,,,,,,,
3857258,3063.0,4780ef6a-c5b0-4ed1-912e-829dd87523ad,2.0,81.53333333333333,Group Stage,False,Brazil,Serbia,-2.0,False,Saved,0.0,0.18260110809802788,0.002240934942809737,ordinary_or_penalty,,,,,,,,,,,,
3857258,3115.0,e3a44182-23f4-4163-b36c-372a82466969,2.0,82.53333333333333,Group Stage,False,Brazil,Serbia,-2.0,False,Saved,0.0,0.2166438145718405,0.0017735264577089425,ordinary_or_penalty,,,,,,,,,,,,
3857259,616.0,637fd724-c030-440d-9392-7c718149938b,1.0,18.616666666666667,Group Stage,False,Cameroon,Serbia,0.0,False,Saved,0.0,0.06996425990061136,0.24110397316158155,ordinary_or_penalty,,,,,,,,,,,,
3857259,811.0,1b7461e8-f3c3-4c70-94f5-aae1384db51b,1.0,28.116666666666667,Group Stage,False,Cameroon,Serbia,0.0,False,Goal,1.0,0.987129694040319,0.2526993606763925,ordinary_or_penalty,,,,,,,,,,,,
3857259,1338.0,1dab17e3-7088-4ae6-a1a4-dc0ff0dc2e15,1.0,42.733333333333334,Group Stage,False,Cameroon,Serbia,-1.0,False,Saved,0.0,0.17090485560599136,0.12050959504283655,ordinary_or_penalty,,,,,,,,,,,,
3857259,1434.0,3ba0655f-e4cf-4088-a3e8-0cdbfa517be9,1.0,45.36666666666667,Group Stage,False,Serbia,Cameroon,1.0,False,Goal,1.0,0.2886490687578318,0.33569927089366336,ordinary_or_penalty,,,,,,,,,,,,
3857259,1493.0,52b8141b-59ae-4ae1-8509-7ac620e4c9e1,1.0,47.86666666666667,Group Stage,False,Serbia,Cameroon,0.0,False,Goal,1.0,0.20418388631060252,0.2804661252180571,ordinary_or_penalty,,,,,,,,,,,,
3857259,1854.0,be17203f-f93a-4a28-9704-0d0783b29be2,2.0,52.43333333333333,Group Stage,False,Serbia,Cameroon,-1.0,False,Goal,1.0,0.9788877241632775,0.1088787954199239,ordinary_or_penalty,,,,,,,,,,,,
3857259,2132.0,da5af003-a708-4d60-9153-f78c6651c5bc,2.0,61.88333333333333,Group Stage,False,Cameroon,Serbia,2.0,False,Saved,0.0,0.12496610463320419,0.14531381402102717,ordinary_or_penalty,,,,,,,,,,,,
3857259,2158.0,4768edb7-18f4-45fc-8281-4bb29e43dcfd,2.0,62.86666666666667,Group Stage,False,Cameroon,Serbia,2.0,False,Goal,1.0,0.4611263366107968,0.14307535038982055,ordinary_or_penalty,,,,,,,,,,,,
3857259,2228.0,72d6e126-e852-4621-b7b3-9861affc8b94,2.0,65.41666666666667,Group Stage,False,Cameroon,Serbia,1.0,False,Goal,1.0,0.8193704659143863,0.42732474343665844,ordinary_or_penalty,,,,,,,,,,,,
3857259,2569.0,a63f273c-9a0d-4cfe-89ae-7cbd3d8d0bc1,2.0,75.86666666666666,Group Stage,False,Serbia,Cameroon,0.0,False,Saved,0.0,0.21395845280139728,0.32272669492034944,ordinary_or_penalty,,,,,,,,,,,,
3857259,2934.0,c2960b9b-c6ba-4bb9-b6ae-11b4c1c01ce1,2.0,86.11666666666666,Group Stage,False,Cameroon,Serbia,0.0,False,Saved,0.0,0.15358741776856238,0.3323140892994916,ordinary_or_penalty,,,,,,,,,,,,
3857259,3205.0,1a3dd69a-682b-43be-aa29-ed4cc4f717e5,2.0,94.13333333333334,Group Stage,False,Cameroon,Serbia,0.0,False,Saved,0.0,0.10396229901432415,0.3333333333333333,ordinary_or_penalty,,,,,,,,,,,,
3857259,3223.0,ff453b86-63e4-4e15-a1f3-2513f1f9f4f3,2.0,94.7,Group Stage,False,Serbia,Cameroon,0.0,False,Saved,0.0,0.1688009794017751,0.3333333333333333,ordinary_or_penalty,,,,,,,,,,,,
3857260,105.0,9dd15d0d-0ff7-4b3a-a352-dbfc2bd33ced,1.0,2.1333333333333333,Group Stage,False,Saudi Arabia,Mexico,0.0,False,Saved,0.0,0.27272727272727276,0.22362428020565955,ordinary_or_penalty,,,,,,,,,,,,
3857260,123.0,51808f65-639f-4dbd-bd51-3b8dde23358a,1.0,2.6166666666666667,Group Stage,False,Mexico,Saudi Arabia,0.0,False,Saved,0.0,0.43636363636363634,0.2240795527982299,ordinary_or_penalty,,,,,,,,,,,,
3857260,674.0,095adc8d-612d-445a-9a9a-33100ece166c,1.0,22.35,Group Stage,False,Mexico,Saudi Arabia,0.0,False,Saved,0.0,0.27272727272727276,0.24553830772346238,ordinary_or_penalty,,,,,,,,,,,,
3857260,775.0,22eb252a-6f77-44e7-bfc6-c588e4d70047,1.0,24.45,Group Stage,False,Mexico,Saudi Arabia,0.0,False,Saved,0.0,0.10204081632653061,0.24807011724047293,ordinary_or_penalty,,,,,,,,,,,,
3857260,1618.0,20a35c76-24ef-4b8c-ac38-e769dff6c717,2.0,46.2,Group Stage,False,Mexico,Saudi Arabia,0.0,False,Saved,0.0,0.13333333333333333,0.2779372502704852,ordinary_or_penalty,,,,,,,,,,,,
3857260,1629.0,22c0ff6e-ca12-495e-a6d9-cf1bb00e53a9,2.0,46.86666666666667,Group Stage,False,Mexico,Saudi Arabia,0.0,False,Goal,1.0,0.43636363636363634,0.2789455345541195,ordinary_or_penalty,,,,,,,,,,,,
3857260,1717.0,2243dac2-e1c3-47a3-87b7-5b398c68cf07,2.0,51.93333333333333,Group Stage,False,Mexico,Saudi Arabia,-1.0,False,Goal,1.0,0.22,0.10954202739059013,ordinary_or_penalty,,,,,,,,,,,,
3857260,2124.0,869d6aa5-aea8-41cd-9ea1-df338f224d12,2.0,66.01666666666667,Group Stage,False,Mexico,Saudi Arabia,-2.0,False,Saved,0.0,0.10204081632653061,0.013464506784056328,ordinary_or_penalty,,,,,,,,,,,,
3857260,2230.0,0cfe0a06-b98d-41fb-bef1-59897be64d13,2.0,72.05,Group Stage,False,Mexico,Saudi Arabia,-2.0,False,Saved,0.0,0.22,0.0084470234353995,ordinary_or_penalty,,,,,,,,,,,,
3857260,2390.0,1a46cbf8-c9bc-4843-b51c-0ee17fd7550d,2.0,77.76666666666667,Group Stage,False,Mexico,Saudi Arabia,-2.0,False,Saved,0.0,0.13333333333333333,0.004390379572824412,ordinary_or_penalty,,,,,,,,,,,,
3857260,2735.0,ad9940c8-30cc-47f4-b706-e2d09b1d78eb,2.0,91.41666666666667,Group Stage,False,Mexico,Saudi Arabia,-2.0,False,Saved,0.0,0.10204081632653061,0.0,ordinary_or_penalty,,,,,,,,,,,,
3857260,2833.0,1d0a8857-a8ba-461f-9e98-de32270f52c7,2.0,94.66666666666667,Group Stage,False,Saudi Arabia,Mexico,2.0,False,Goal,1.0,0.43636363636363634,0.0,ordinary_or_penalty,,,,,,,,,,,,
3857261,438.0,5f957f67-cdbc-4a3e-b3bc-89492062f995,1.0,9.183333333333334,Group Stage,False,England,Wales,0.0,False,Saved,0.0,0.5182151698505608,0.23070332450005224,ordinary_or_penalty,,,,,,,,,,,,
3857261,1708.0,559a4918-19c5-4542-a25c-9f97b0f50846,1.0,47.916666666666664,Group Stage,False,England,Wales,0.0,False,Saved,0.0,0.2507430949801139,0.28056783600358126,ordinary_or_penalty,,,,,,,,,,,,
3857261,1900.0,6020ebb9-e009-4fa5-b2b4-5ef501777c88,2.0,49.28333333333333,Group Stage,False,England,Wales,0.0,False,Goal,1.0,0.15244746824704183,0.28261052404258974,ordinary_or_penalty,,,,,,,,,,,,
3857261,1929.0,e19e6d23-1ae7-41f7-8523-ca44e192c002,2.0,50.88333333333333,Group Stage,False,England,Wales,-1.0,False,Goal,1.0,0.7642185120066761,0.11101588107968882,ordinary_or_penalty,,,,,,,,,,,,
3857261,2063.0,df171e76-7f4c-4369-86e8-f29b80bca70e,2.0,55.11666666666667,Group Stage,False,Wales,England,2.0,False,Saved,0.0,0.13962036479387216,0.1573717010561546,ordinary_or_penalty,,,,,,,,,,,,
3857261,2373.0,f1368c72-842d-4757-9932-408fd168e995,2.0,67.66666666666667,Group Stage,False,England,Wales,-2.0,False,Goal,1.0,0.22934397986837285,0.012017900749762247,ordinary_or_penalty,,,,,,,,,,,,
3857261,2518.0,7d9ece14-5e53-4fa5-a35b-ff1a399e9221,2.0,71.35,Group Stage,False,England,Wales,-3.0,False,Saved,0.0,0.2563031517125648,0.0007944913898638063,ordinary_or_penalty,,,,,,,,,,,,
3857261,2699.0,e0b68076-fbac-4918-b206-97d14b9d2e42,2.0,76.63333333333334,Group Stage,False,England,Wales,-3.0,False,Saved,0.0,0.44646707420673387,0.0003309422980162765,ordinary_or_penalty,,,,,,,,,,,,
3857262,247.0,18f01ec7-ab9e-40d4-9629-a6507d1843e5,1.0,4.883333333333333,Group Stage,False,Portugal,South Korea,0.0,False,Goal,1.0,0.5044890775748118,0.22632416173880568,ordinary_or_penalty,,,,,,,,,,,,
3857262,609.0,c6dfbf3c-fee3-4529-bf1c-88c912c73ca2,1.0,14.066666666666666,Group Stage,False,Portugal,South Korea,-1.0,False,Saved,0.0,0.1268680981933664,0.13702777854794573,ordinary_or_penalty,,,,,,,,,,,,
3857262,666.0,959fabc4-2b98-4a57-a9c1-1999400662dd,1.0,16.15,Group Stage,False,South Korea,Portugal,1.0,False,Saved,0.0,0.24951492194804709,0.2645568808720429,ordinary_or_penalty,,,,,,,,,,,,
3857262,1020.0,e696a77e-52b1-4f33-a5f3-476bbfcf4b57,1.0,26.716666666666665,Group Stage,False,South Korea,Portugal,1.0,False,Goal,1.0,0.8875245410153076,0.28508747642904275,ordinary_or_penalty,,,,,,,,,,,,
3857262,1282.0,803986f1-d638-4db9-9f0b-53d248a35855,1.0,33.95,Group Stage,False,Portugal,South Korea,0.0,False,Saved,0.0,0.1682722127819699,0.2603833809363111,ordinary_or_penalty,,,,,,,,,,,,
3857262,1287.0,9751faee-145f-490c-8ab7-beb789c269b9,1.0,34.55,Group Stage,False,Portugal,South Korea,0.0,False,Saved,0.0,0.17275493048063412,0.26120346765589764,ordinary_or_penalty,,,,,,,,,,,,
3857262,1485.0,a121c896-21e3-4dff-97f9-95d7eaa71e53,1.0,39.916666666666664,Group Stage,False,South Korea,Portugal,0.0,False,Saved,0.0,0.1565798289236504,0.26869578102753566,ordinary_or_penalty,,,,,,,,,,,,
3857262,1563.0,99afe7c0-0758-48dd-abec-27ff13f6fa09,1.0,41.61666666666667,Group Stage,False,Portugal,South Korea,0.0,False,Saved,0.0,0.1403570766166132,0.27120681861334744,ordinary_or_penalty,,,,,,,,,,,,
3857262,1648.0,9b6dd32d-4993-4f70-8aa8-8c57f1c0742b,1.0,43.666666666666664,Group Stage,False,Portugal,South Korea,0.0,False,Saved,0.0,0.24702333251346456,0.2741480323260823,ordinary_or_penalty,,,,,,,,,,,,
3857262,2454.0,ae0ccb3a-9cd2-4a1f-a8df-04956bbeefc2,2.0,65.58333333333333,Group Stage,False,South Korea,Portugal,0.0,False,Saved,0.0,0.18437435991358833,0.3080117094169953,ordinary_or_penalty,,,,,,,,,,,,
3857262,2507.0,4c77dbd8-b88d-4091-b74e-a2ee33802cf9,2.0,66.5,Group Stage,False,South Korea,Portugal,0.0,False,Saved,0.0,0.24003794138023146,0.3094464699206206,ordinary_or_penalty,,,,,,,,,,,,
3857262,3244.0,9ec02244-15d4-4d47-9f4a-efabc72118a2,2.0,90.46666666666667,Group Stage,False,South Korea,Portugal,0.0,False,Goal,1.0,0.6625796674381713,0.3333333333333333,ordinary_or_penalty,,,,,,,,,,,,
3857263,1836.0,26d7107b-7657-4f16-bb7c-530047ec4536,1.0,44.583333333333336,Group Stage,False,Germany,Spain,0.0,False,Saved,0.0,0.12096311495448282,0.27553604185525526,ordinary_or_penalty,,,,,,,,,,,,
3857263,2335.0,39497546-4a78-43e1-98dc-71bf9514b702,2.0,55.88333333333333,Group Stage,False,Germany,Spain,0.0,False,Saved,0.0,0.20206681667112072,0.2929127967820415,ordinary_or_penalty,,,,,,,,,,,,
3857263,2365.0,2036573c-cac2-4454-b43b-c33364286c4a,2.0,58.0,Group Stage,False,Spain,Germany,0.0,False,Saved,0.0,0.12314476841462016,0.29617908390552516,ordinary_or_penalty,,,,,,,,,,,,
3857263,2478.0,72e972ee-22e9-4eef-aaa9-04ebd7e55f92,2.0,61.55,Group Stage,False,Spain,Germany,0.0,False,Goal,1.0,0.5353656856806741,0.30176328986030354,ordinary_or_penalty,,,,,,,,,,,,
3857263,2865.0,db268ae9-4dfd-43fc-901e-71cd25f5cff6,2.0,72.71666666666667,Group Stage,False,Germany,Spain,1.0,False,Saved,0.0,0.4803327732856098,0.4779290827892089,ordinary_or_penalty,,,,,,,,,,,,
3857263,3242.0,38d1ccce-102b-41a6-9661-a4f872c615e3,2.0,82.41666666666667,Group Stage,False,Germany,Spain,1.0,False,Goal,1.0,0.17559118595518702,0.5688641125250133,ordinary_or_penalty,,,,,,,,,,,,
3857264,264.0,e84b2adc-a5c5-467d-9e62-bfb5ab86943d,1.0,6.5,Group Stage,False,Argentina,Poland,0.0,False,Saved,0.0,0.15337563041466412,0.22794241559031614,ordinary_or_penalty,,,,,,,,,,,,
3857264,393.0,732e9df5-bb7b-4708-bf2e-0d1e2cbd521f,1.0,9.883333333333333,Group Stage,False,Argentina,Poland,0.0,False,Saved,0.0,0.2013559149007584,0.231476826981602,ordinary_or_penalty,,,,,,,,,,,,
3857264,1298.0,530b01f6-fd0d-4c7d-96c6-2d4443005a6d,1.0,32.28333333333333,Group Stage,False,Argentina,Poland,0.0,False,Saved,0.0,0.08992128607988888,0.25813003026920645,ordinary_or_penalty,,,,,,,,,,,,
3857264,1409.0,ce3c5309-f67c-45f6-9ff3-354a958dc5f7,1.0,35.166666666666664,Group Stage,False,Argentina,Poland,0.0,False,Saved,0.0,0.23193159618348327,0.2620282303072837,ordinary_or_penalty,,,,,,,,,,,,
3857264,1416.0,bbf37035-eac8-4277-8e3a-39c6acf669e1,1.0,38.4,Group Stage,False,Argentina,Poland,0.0,True,Saved,0.0,,0.26659963967129297,ordinary_or_penalty,,,,,,,,,,,,
3857264,1579.0,8b91032f-be4a-447e-82c2-11e12d18aeaa,1.0,42.15,Group Stage,False,Argentina,Poland,0.0,False,Saved,0.0,0.15061421934502298,0.27198662963782627,ordinary_or_penalty,,,,,,,,,,,,
3857264,1583.0,79ac9bb8-7580-4f2f-86e4-03ddd04bc6a1,1.0,42.166666666666664,Group Stage,False,Argentina,Poland,0.0,False,Saved,0.0,0.5375649623241289,0.27198662963782627,ordinary_or_penalty,,,,,,,,,,,,
3857264,1614.0,35801dfe-a2f0-4877-aaba-a022e4a8d356,1.0,43.266666666666666,Group Stage,False,Argentina,Poland,0.0,False,Saved,0.0,0.15566951571745685,0.27355613249726174,ordinary_or_penalty,,,,,,,,,,,,
3857264,1865.0,7a106f3b-d45b-4e5a-b272-eab6712a7aa9,2.0,45.88333333333333,Group Stage,False,Argentina,Poland,0.0,False,Goal,1.0,0.2023107572030985,0.27743479372611646,ordinary_or_penalty,,,,,,,,,,,,
3857264,2481.0,7c0f9533-8699-4dff-b7e1-afcdc7dbe87e,2.0,60.63333333333333,Group Stage,False,Argentina,Poland,-1.0,False,Saved,0.0,0.2985257922036533,0.0951978693485417,ordinary_or_penalty,,,,,,,,,,,,
