layout,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Tactical + Shape,box_entry,Soft Vote: Boosting,0,12,1865,0.33351206434316355,0.3642418785083912,0.11590074042350033,0.9035214564907532,0.8444901266254817,0.02266388341922854
Tactical + Shape,box_entry,Soft Vote: Boosting,1,13,1966,0.3158697863682604,0.3579457027432656,0.11354231677535452,0.9043166974959443,0.8287320197447421,0.025237401253490947
Tactical + Shape,box_entry,Soft Vote: Boosting,2,13,1945,0.3038560411311054,0.34697187350318665,0.10890476094583545,0.9075084914785295,0.8296540950357568,0.020382261270090195
Tactical + Shape,box_entry,Soft Vote: Boosting,3,13,1975,0.30278481012658226,0.3626106227395501,0.11630974735341232,0.897788075963694,0.8067919313719544,0.02233247260973999
Tactical + Shape,box_entry,Soft Vote: Boosting,4,13,1934,0.3247156153050672,0.35770607705602525,0.11238015576253267,0.9058534349060192,0.8407123604501934,0.028794896699336523
Tactical + Shape,box_entry,Soft Vote: LR + XGB,0,12,1865,0.33351206434316355,0.3640904817090065,0.11566830550960837,0.9032912283061673,0.8428474039384726,0.03052840053967752
Tactical + Shape,box_entry,Soft Vote: LR + XGB,1,13,1966,0.3158697863682604,0.3581338293845837,0.11444358604496599,0.9037970894767404,0.825779697860475,0.021916724520832286
Tactical + Shape,box_entry,Soft Vote: LR + XGB,2,13,1945,0.3038560411311054,0.3465256665043102,0.10922876408228789,0.9076547023671169,0.8288215965083546,0.02152636016489681
Tactical + Shape,box_entry,Soft Vote: LR + XGB,3,13,1975,0.30278481012658226,0.357470901716736,0.11445252649864197,0.9004913497667121,0.8101431946922607,0.014564698674768749
Tactical + Shape,box_entry,Soft Vote: LR + XGB,4,13,1934,0.3247156153050672,0.35702428905595285,0.11176015281298249,0.9060436398396426,0.8432244075159281,0.02389550221150912
Tactical + Shape,transition_conceded,Logistic Regression,0,12,1865,0.0005361930294906167,0.004226967926893963,0.0005439104456125735,0.971030042918455,0.01818181818181818,0.0012708500025217049
Tactical + Shape,transition_conceded,Random Forest,0,12,1865,0.0005361930294906167,0.0044689059438913345,0.0005558087285903782,0.9243562231759657,0.007042253521126761,0.00127026106253089
Tactical + Shape,transition_conceded,Gradient Boosting,0,12,1865,0.0005361930294906167,0.003771976200471691,0.0005394652840677216,0.9640557939914164,0.014705882352941176,0.00019758046846643789
