layout,target,model,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,target_rank
Player-Aware,transition_shot_15,Gradient Boosting,9685,0.014971605575632421,0.08035870199059365,0.014975851615224385,0.5542098604785657,0.01627783720794182,0.0008820480832426419,1.0
Player-Aware,transition_shot_15,Soft Vote: All,9685,0.014971605575632421,0.08045662900916709,0.014941201677628857,0.5508161642449216,0.01602061769384413,0.0006763604417382332,2.0
Context + History,transition_shot_15,Logistic Regression,9685,0.014971605575632421,0.08070771813566864,0.014913242660604219,0.5473552374756018,0.01684224372980966,0.0003668561904016142,3.0
Context + History,transition_shot_15,Soft Vote: LR + XGB,9685,0.014971605575632421,0.08071133673184303,0.01486032909465564,0.5237696089062388,0.01645770151281617,0.0005778190836440368,4.0
Player-Aware,transition_shot_15,Soft Vote: Boosting,9685,0.014971605575632421,0.08110660640320912,0.014860520528355672,0.5439300947010772,0.015810300102898713,0.0036356144140141425,5.0
Context + History,transition_shot_15,Gradient Boosting,9685,0.014971605575632421,0.08155327659180779,0.014932989423118083,0.4927448854189258,0.014663488118082858,0.0006804733801010096,6.0
Context + History,transition_shot_15,Soft Vote: All,9685,0.014971605575632421,0.08165255577846948,0.014891307975506193,0.49278862141256413,0.01475368788229283,0.0005499970779587422,7.0
Context + History,transition_shot_15,XGBoost,9685,0.014971605575632421,0.08238866180181503,0.014900737442076206,0.5101597628858526,0.01630260359586472,0.0018083026822104432,8.0
Context + History,transition_shot_15,Soft Vote: Boosting,9685,0.014971605575632421,0.08259700950401538,0.014908618923236664,0.4929997108364057,0.014651889152221001,0.002220880648347,9.0
Player-Aware,transition_shot_15,Soft Vote: LR + XGB,9685,0.014971605575632421,0.08294002793419977,0.01523657200330447,0.5524210221933059,0.016983019750108155,0.00254552982722412,10.0
Player-Aware,transition_shot_15,XGBoost,9685,0.014971605575632421,0.0831470787525177,0.014918524771928787,0.5164718426950048,0.014975166759309712,0.0035858929580366967,11.0
Player-Aware,transition_shot_15,Random Forest,9685,0.014971605575632421,0.08706042766821925,0.015260044429156275,0.5028301886792452,0.014371674904116637,0.008370850017413172,12.0
Context + History,transition_shot_15,Random Forest,9685,0.014971605575632421,0.08717006930206116,0.015114990588544866,0.4813771416178703,0.014420419565246863,0.003033887040068457,13.0
Player-Aware,transition_shot_15,Logistic Regression,9685,0.014971605575632421,0.08724811992403363,0.01630157362988172,0.5777184992409456,0.018021722895423538,0.005766285590877965,14.0
Player-Aware,transition_shot_15,Histogram Gradient Boosting,9685,0.014971605575632421,0.08846259539920062,0.014903447557225532,0.543825634352635,0.017356210732567802,0.008716467164512551,15.0
Context + History,transition_shot_15,Histogram Gradient Boosting,9685,0.014971605575632421,0.08927372369989399,0.015079127128795246,0.4809336369551074,0.013805484577539783,0.005751667059033147,16.0
