team,player,matches_with_defensive_action,defensive_actions,pressure_actions,counterpress_actions,duels,interceptions,blocks,clearances,ball_recoveries,fouls_committed,fifty_fifties,actor_frame_count,avg_actor_x_when_acting,avg_actor_y_when_acting,avg_actor_distance_from_centroid_when_acting,avg_back_line_height_when_acting,avg_defensive_hull_area_when_acting,avg_defenders_behind_ball_when_acting,avg_defenders_within_5_when_acting,avg_defenders_within_10_when_acting,avg_visible_area_when_acting,player_role_cluster,defensive_player_role
Mexico,Héctor Miguel Herrera López,2,42,23,8,5,2,3,3,1,5,0,49,65.50101197007469,36.77338249696222,8.312564228482218,42.70647655273381,714.1022535023427,5.224489795918367,1.163265306122449,2.326530612244898,3325.578009482362,1,Pressing Disruptor
France,Marcus Thuram,4,42,26,7,3,2,2,3,3,2,0,48,68.91703899754872,58.63117581373406,16.34044802763167,39.333301633350494,585.1351970805766,5.5625,1.25,2.020833333333333,2968.454389743853,1,Pressing Disruptor
Croatia,Nikola Vlašić,6,42,29,12,4,0,2,0,2,5,0,47,52.89822900847535,28.06523673844432,15.965459361960848,56.03979678987138,532.8693872590783,4.319148936170213,1.0,1.702127659574468,2674.122677417809,1,Pressing Disruptor
Cameroon,Jean-Charles Castelletto,2,42,18,5,1,2,4,15,1,1,0,47,88.61049929195606,33.61902683828146,7.573936508670259,29.28327982229139,357.2737519246036,2.191489361702128,1.319148936170213,2.765957446808511,2318.305603043985,0,Deep Stopper
Portugal,Rúben Santos Gato Alves Dias,4,42,13,6,6,3,1,14,2,3,0,46,76.6238938138462,43.45802718003788,10.308231542541296,40.762416285280416,571.4094873023129,2.0434782608695654,1.391304347826087,2.4130434782608696,3114.374768659435,0,Deep Stopper
Brazil,Frederico Rodrigues Santos,4,42,27,5,3,1,2,3,3,3,0,44,72.1564760632413,29.86793786472037,8.552111922802338,37.56246208390864,552.4822383527177,4.727272727272728,1.2272727272727273,2.409090909090909,2769.840483874924,1,Pressing Disruptor
France,Kylian Mbappé Lottin,6,41,29,5,2,1,1,0,4,4,0,68,62.02133450339318,49.52956223914548,16.529816622520062,44.1184857413512,546.2322822776491,5.5588235294117645,0.7647058823529411,1.3088235294117647,2972.081869920879,1,Pressing Disruptor
England,Harry Kane,5,41,27,4,5,0,2,5,1,1,0,67,56.83177489954593,36.36007830038648,12.689546342478938,53.29759706271088,437.2900488593873,4.522388059701493,1.1343283582089552,1.7164179104477613,2686.2435609069767,1,Pressing Disruptor
Saudi Arabia,Firas Tariq Nasser Al Albirakan,3,41,24,7,3,1,3,2,4,1,3,55,72.29246834614924,28.40069307873529,15.362876172884292,37.73795539974064,417.8824182609344,5.109090909090909,1.0363636363636364,1.7818181818181815,2569.0377340011764,1,Pressing Disruptor
Belgium,Jan Vertonghen,3,41,15,2,3,2,4,16,1,0,0,54,88.52959663125826,48.88499527964218,10.729487292799218,29.527934928986745,589.8904864742844,1.851851851851852,1.4814814814814814,2.703703703703704,2739.80307737672,0,Deep Stopper
Netherlands,Memphis Depay,5,41,33,7,1,1,2,1,1,2,0,54,53.40394463516466,46.85674573535017,13.302272616369253,52.6825462405543,603.8785044571873,5.296296296296297,0.925925925925926,1.4259259259259258,2824.2889262116305,1,Pressing Disruptor
Serbia,Dušan Tadić,3,41,26,7,3,2,6,0,0,4,0,53,59.87512809053242,40.06046552599789,11.87204925471382,46.52966117034508,578.4839422239812,5.830188679245283,1.1320754716981132,2.037735849056604,2933.531525519617,1,Pressing Disruptor
Iran,Ali Karimi,3,41,27,6,4,0,3,1,0,6,0,45,69.95997466757625,31.10337066250016,9.051800332567604,40.84143378432844,506.0778473073493,4.333333333333333,1.488888888888889,2.6666666666666665,2729.241102519506,1,Pressing Disruptor
Senegal,Boulaye Dia,4,40,26,6,4,1,1,3,1,4,0,60,55.657502725523045,35.14654024423607,11.766336970774905,53.40867305100544,530.1140473020628,5.083333333333333,0.9666666666666668,1.85,2685.3081866113307,1,Pressing Disruptor
Mexico,Ernesto Alexis Vega Rojas,3,40,25,2,3,3,1,1,4,2,0,56,63.79139693248705,51.32060306516747,15.561469790438728,43.70429759385878,567.5713144759808,5.321428571428571,1.1071428571428572,1.6785714285714286,2980.066992723616,1,Pressing Disruptor
Cameroon,Nicolas Alexis Julio N'Koulou Ndoubena,2,40,17,2,3,3,3,8,4,2,0,54,80.9013509049687,42.52527976326948,9.226242306979994,36.84923269934417,421.9509289128321,2.1666666666666665,1.148148148148148,2.740740740740741,2187.283947123848,0,Deep Stopper
Saudi Arabia,Hassan Mohammed Al-Tambakti,2,40,16,3,6,5,5,6,1,1,0,47,90.64879847677138,36.65857387682573,8.122144045735416,28.394745774249937,381.1649932405076,1.851063829787234,1.425531914893617,2.7872340425531914,2270.835535092102,0,Deep Stopper
Belgium,Toby Alderweireld,3,40,12,3,4,2,3,18,1,0,0,46,85.06300151360195,33.49457515274352,11.556449603395734,33.391228838244174,566.6250413385627,1.826086956521739,1.3043478260869563,2.391304347826087,2647.911306430858,0,Deep Stopper
