layout,timing,target,model,rows,matches,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,fold_log_loss_std,fold_brier_std,target_rank,log_loss_ci_low,log_loss_ci_high,brier_ci_low,brier_ci_high,delta_log_loss_vs_best,delta_ci_low,delta_ci_high,empirical_best,within_practical_margin,selected
Tactical + Shape,Retrospective,box_entry,Gradient Boosting,9685,64,0.3159525038719669,0.3717722686457676,0.1174361833155187,0.8966425453200147,0.8176579452485768,0.0195462328549767,0.0067599905260821,0.0028372503403901,13.0,0.3617139050442597,0.38152824367690563,0.11349242653761865,0.12116875464398116,0.016169533438432637,0.013503544286397776,0.01894532584349794,False,False,False
Player-Aware,Retrospective,box_entry,Gradient Boosting,9685,64,0.3159525038719669,0.3748536235209074,0.1183876607064269,0.8951160439018375,0.8146557895433035,0.0227818396376036,0.0060419325437636,0.002581844853891,14.0,0.3650264592122062,0.38440654394253554,0.11458881924004559,0.12205975414231406,0.019250888313572412,0.01620563815391779,0.022326953479333445,False,False,False
Player-Aware,Retrospective,box_entry,Random Forest,9685,64,0.3159525038719669,0.3759866690651324,0.1192392383022613,0.8942612405968677,0.8141574139854916,0.0248648815734587,0.0045564107427755,0.0020006159487267,15.0,0.3663078740919566,0.38509404817173765,0.1156275365530429,0.12277447685640862,0.02038393385779741,0.01582880995964965,0.02506616858291716,False,False,False
Player-Aware,Retrospective,box_entry,Logistic Regression,9685,64,0.3159525038719669,0.3983687515263513,0.127361426829509,0.8814347021827599,0.7884316222520986,0.0289810909364802,0.0134233374611609,0.0050616842426395,16.0,0.3859577122717806,0.41048774136762894,0.12307302049606118,0.13155217181661016,0.04276601631901633,0.033862536281656065,0.0520285225520257,False,False,False
Context + Both Styles,Retrospective,box_entry,Logistic Regression,9685,64,0.3159525038719669,0.4784001902998588,0.1592914867303751,0.8045282772228389,0.6776081360398434,0.0195288390698656,0.0069659456968306,0.0027064108612702,17.0,0.46921361698542013,0.4872086910875783,0.15556370927106442,0.16292119237836128,0.12279745509252382,0.1144533520638637,0.13082054885083175,False,False,False
Context + Attack Style,Retrospective,box_entry,Logistic Regression,9685,64,0.3159525038719669,0.5097580360286708,0.1719209297468382,0.7691378221728943,0.6177136248464608,0.0396585396024447,0.0099017989741776,0.0041214441207958,18.0,0.5016183719699708,0.5177196661344828,0.16858955934851735,0.17512682780833305,0.15415530082133577,0.1446167336865536,0.16343654417296213,False,False,False
Start Context,Prospective,shot,Logistic Regression,9685,64,0.1246257098606092,0.3538366768592482,0.1030818279205194,0.6641777450990165,0.2440643288183084,0.0116224842522094,0.010782851456383,0.004111067786725,19.0,0.3382895048389207,0.3704864710783985,0.0973742046514677,0.10922141366338857,0.0,0.0,0.0,True,True,False
Tactical + Shape,Retrospective,shot,Soft Vote: All,9685,64,0.1246257098606092,0.2479071954482093,0.0776646531422237,0.8934598110847062,0.5303802354562542,0.0111347534682589,0.0073546492679721,0.0031701581807629,1.0,0.23617545841295554,0.2596064875673174,0.07335952373804966,0.08209483886599164,0.0,0.0,0.0,True,True,False
Tactical + Shape,Retrospective,shot,Soft Vote: LR + XGB,9685,64,0.1246257098606092,0.2479960889367302,0.0778333643479727,0.8921973203024818,0.5317561097303436,0.0096791808134468,0.0085979556880828,0.0036823901716832,2.0,0.2362482032148634,0.2598779161408805,0.07350172080260722,0.08229020081057305,8.889348852089696e-05,-0.0011939005165693011,0.0014228617432599316,False,True,False
Tactical + Shape,Retrospective,shot,XGBoost,9685,64,0.1246257098606092,0.2485592797836555,0.0781975020799052,0.8917724182263838,0.5238063962479486,0.0071364428514799,0.0070952727708116,0.0032145469730642,3.0,0.2367845810152473,0.2605593425987141,0.0738609019974932,0.08264840160798757,0.0006520843354461958,-0.000628094222594519,0.001970659132768609,False,True,True
Tactical + Shape,Retrospective,shot,Soft Vote: Boosting,9685,64,0.1246257098606092,0.2492458882670457,0.0781492499083402,0.8923664797996589,0.524742873335389,0.011663931266476,0.0069960282355082,0.002999147133182,4.0,0.2372908838223341,0.26128915384771184,0.07381768406587234,0.08260825276537208,0.00133869281883639,0.0005129145580752899,0.0022278112243907552,False,False,False
Tactical + Shape,Retrospective,shot,Histogram Gradient Boosting,9685,64,0.1246257098606092,0.2519986231918564,0.0792934774554536,0.8896624686576085,0.5087257484751678,0.0134655298722264,0.0075719811700899,0.0031735634762669,5.0,0.23932508622946208,0.264797525003584,0.07474075869962854,0.08380014298985568,0.004091427743647097,0.001561829061237055,0.006635091565234811,False,False,False
Player-Aware,Retrospective,shot,XGBoost,9685,64,0.1246257098606092,0.2529252322047218,0.0793336235687195,0.8866284450245315,0.5152489727910451,0.0075046667506955,0.0074355148159005,0.0034244474888864,6.0,0.24092459763626942,0.26545801464808755,0.07490949515696382,0.08386266525686731,0.005018036756512495,0.0028165682501539195,0.007274405825741661,False,False,False
Player-Aware,Retrospective,shot,Soft Vote: Boosting,9685,64,0.1246257098606092,0.2532671148526184,0.0790936486592242,0.8876342159921492,0.5187021922898178,0.0118597725885516,0.0069918604977866,0.003153859621085,7.0,0.24106672419138211,0.26560134568737837,0.07463950577488042,0.0836286222746657,0.00535991940440908,0.0036297212073339866,0.007248618306011742,False,False,False
Player-Aware,Retrospective,shot,Soft Vote: All,9685,64,0.1246257098606092,0.253341045832868,0.0789017188869633,0.8876177984326312,0.5203200854862506,0.0096783697264605,0.0072193860007709,0.0032309350235063,8.0,0.24185094174175104,0.2650920503287106,0.07460372476296712,0.0833472796756847,0.005433850384658684,0.0037053805908486962,0.0072751065794470545,False,False,False
Tactical + Shape,Retrospective,shot,Random Forest,9685,64,0.1246257098606092,0.2545023283793855,0.079526232973094,0.8838063838116609,0.5100777699126896,0.0078474517002055,0.0056609104051043,0.0029480843531846,9.0,0.2429520186564019,0.2663670149557426,0.07526262174919573,0.08392205525638693,0.006595132931176223,0.004383824438935898,0.008852605213017988,False,False,False
Tactical + Shape,Retrospective,shot,Logistic Regression,9685,64,0.1246257098606092,0.2557752445435298,0.0801825667318551,0.8831370750905946,0.5134308161825354,0.0093953885863098,0.0102637284778423,0.0042784583346357,10.0,0.24343310422307507,0.26808645844973783,0.07576466243134497,0.08475015790798414,0.00786804909532049,0.004907115262680884,0.010823859112085261,False,False,False
Player-Aware,Retrospective,shot,Histogram Gradient Boosting,9685,64,0.1246257098606092,0.2566614738321172,0.0805818864631217,0.8844561478190152,0.5057676300408906,0.0175176881505436,0.0076437891368997,0.0036250465764346,11.0,0.24352734010569313,0.2700731153613144,0.07593841567445782,0.08527863127200878,0.008754278383907882,0.005759610425221611,0.01195690618635175,False,False,False
Player-Aware,Retrospective,shot,Soft Vote: LR + XGB,9685,64,0.1246257098606092,0.256773270835787,0.080569057145226,0.8819497337325928,0.5085008420014723,0.0107136005901449,0.0103732791106953,0.0040988331424845,12.0,0.24493608023866406,0.26868487466519525,0.07621738723851425,0.08505343412360025,0.008866075387577693,0.005652805657943426,0.012235386562731798,False,False,False
Tactical + Shape,Retrospective,shot,Gradient Boosting,9685,64,0.1246257098606092,0.2573283567875394,0.0797182280732321,0.8852974500207467,0.517382380673329,0.0155610031564698,0.0068023875185728,0.0029038934915914,13.0,0.24530408562636435,0.2695299064462268,0.07536147283746371,0.08423819680422556,0.009421161339330103,0.007722697663324361,0.011200884251310836,False,False,False
